"dataset","valAccuracy","testAccuracy","layerForm","nhidden","learningrate","nlayers"
"ionosphere",1,0.943181872367859,"cone",256,0.01,3
"ionosphere",0.992592597007751,0.886363625526428,"rect",512,0.01,4
"ionosphere",0.962962985038758,0.897727251052856,"rect",256,0.01,4
"ionosphere",0.962962985038758,0.920454502105713,"cone",1024,0.01,3
"ionosphere",0.962962985038758,0.852272748947144,"rect",512,0.01,3
"ionosphere",0.962962985038758,0.909090876579285,"rect",512,0.1,3
"ionosphere",0.962962985038758,0.909090995788574,"rect",1024,0.01,2
"ionosphere",0.962962985038758,0.897727251052856,"rect",512,0.01,2
"ionosphere",0.962962985038758,0.863636374473572,"rect",256,0.01,2
"ionosphere",0.962962985038758,0.886363625526428,"rect",1024,0.1,2
"ionosphere",0.962962985038758,0.875,"cone",512,0.1,2
"ionosphere",0.962962985038758,0.909090936183929,"rect",256,0.1,2
"ionosphere",0.944444477558136,0.897727251052856,"cone",1024,0.1,4
"ionosphere",0.937037068605423,0.897727251052856,"rect",1024,0.1,4
"ionosphere",0.929629665613174,0.931818127632141,"cone",512,0.1,3
"ionosphere",0.925925970077515,0.897727251052856,"rect",1024,0.1,8
"ionosphere",0.925925970077515,0.897727251052856,"rect",256,0.1,8
"ionosphere",0.925925970077515,0.897727251052856,"rect",512,0.1,4
"ionosphere",0.925925970077515,0.897727251052856,"rect",1024,0.01,3
"ionosphere",0.925925970077515,0.886363625526428,"rect",256,0.01,3
"ionosphere",0.925925970077515,0.920454561710358,"cone",1024,0.1,3
"ionosphere",0.925925970077515,0.886363625526428,"rect",1024,0.1,3
"ionosphere",0.925925970077515,0.852272748947144,"rect",256,0.1,3
"ionosphere",0.925925970077515,0.829545438289642,"cone",1024,0.01,2
"ionosphere",0.925925970077515,0.875,"cone",1024,0.1,2
"ionosphere",0.925925970077515,0.852272748947144,"cone",1024,1,2
"ionosphere",0.922222262620926,0.909090876579285,"rect",1024,0.01,4
"ionosphere",0.91111114025116,0.897727251052856,"rect",256,1,2
"ionosphere",0.91111114025116,0.920454502105713,"rect",512,0.1,8
"ionosphere",0.91111114025116,0.931818127632141,"rect",256,0.1,4
"ionosphere",0.91111114025116,0.886363625526428,"cone",512,1,3
"ionosphere",0.907407438755035,0.784090995788574,"cone",1024,1,4
"ionosphere",0.907407432794571,0.875,"rect",1024,1,4
"ionosphere",0.907407432794571,0.863636374473572,"rect",512,0.1,2
"ionosphere",0.903703725337982,0.863636374473572,"cone",256,1,2
"ionosphere",0.900000017881393,0.852272748947144,"cone",512,1,2
"ionosphere",0.900000017881393,0.852272748947144,"cone",256,1,3
"ionosphere",0.896296310424805,0.875,"cone",512,0.01,3
"ionosphere",0.888888895511627,0.818181872367859,"rect",1024,1,3
"ionosphere",0.888888895511627,0.909090876579285,"cone",512,0.01,2
"ionosphere",0.888888895511627,0.829545497894287,"rect",512,1,2
"ionosphere",0.874074065685272,0.818181872367859,"rect",1024,1,2
"ionosphere",0.870370358228683,0.852272748947144,"rect",512,1,3
"ionosphere",0.859259235858917,0.840909123420715,"cone",256,0.1,3
"ionosphere",0.85185182094574,0.829545497894287,"cone",256,0.01,2
"ionosphere",0.85185182094574,0.852272748947144,"cone",256,0.1,2
"ionosphere",0.848148119449615,0.715909123420715,"cone",512,0.1,4
"ionosphere",0.844444471597672,0.818181872367859,"cone",256,0.1,8
"ionosphere",0.840740746259689,0.852272748947144,"cone",1024,1,3
"ionosphere",0.829629617929459,0.852272748947144,"cone",512,0.01,4
"ionosphere",0.796296292543411,0.670454561710358,"rect",256,1,3
"ionosphere",0.792592602968216,0.795454502105713,"cone",512,1,4
"ionosphere",0.781481504440308,0.784090876579285,"cone",1024,0.01,4
"ionosphere",0.766666662693024,0.784090995788574,"rect",256,1,4
"ionosphere",0.740740776062012,0.75,"rect",256,0.01,8
"ionosphere",0.703703761100769,0.727272748947144,"cone",256,0.01,4
"ionosphere",0.692592620849609,0.784090876579285,"rect",512,0.01,8
"ionosphere",0.692592591047287,0.522727251052856,"rect",256,1,8
"ionosphere",0.688888919353485,0.738636374473572,"rect",1024,0.01,8
"ionosphere",0.688888895511627,0.727272748947144,"rect",512,1,16
"ionosphere",0.648148173093796,0.420454561710358,"cone",256,1,8
"ionosphere",0.633333325386047,0.715909123420715,"cone",256,0.1,4
"ionosphere",0.622222232818604,0.613636374473572,"cone",1024,0.01,32
"ionosphere",0.611111104488373,0.511363625526428,"cone",512,1,8
"ionosphere",0.592592605948448,0.613636374473572,"cone",256,1,4
"ionosphere",0.588888895511627,0.579545497894287,"rect",256,0.1,16
"ionosphere",0.559259283542633,0.647727251052856,"cone",512,0.1,16
"ionosphere",0.555555582046509,0.647727251052856,"cone",512,0.01,32
"ionosphere",0.555555582046509,0.647727251052856,"cone",256,0.01,32
"ionosphere",0.555555582046509,0.647727251052856,"cone",1024,0.1,32
"ionosphere",0.555555582046509,0.647727251052856,"cone",512,0.1,32
"ionosphere",0.555555582046509,0.647727251052856,"cone",256,0.1,32
"ionosphere",0.555555582046509,0.647727251052856,"cone",1024,1,32
"ionosphere",0.555555582046509,0.647727251052856,"cone",512,1,32
"ionosphere",0.555555582046509,0.647727251052856,"rect",512,1,32
"ionosphere",0.555555582046509,0.647727251052856,"cone",256,1,32
"ionosphere",0.555555582046509,0.647727251052856,"cone",1024,0.01,16
"ionosphere",0.555555582046509,0.647727251052856,"rect",1024,0.01,16
"ionosphere",0.555555582046509,0.647727251052856,"cone",512,0.01,16
"ionosphere",0.555555582046509,0.647727251052856,"rect",512,0.01,16
"ionosphere",0.555555582046509,0.647727251052856,"cone",256,0.01,16
"ionosphere",0.555555582046509,0.647727251052856,"rect",256,0.01,16
"ionosphere",0.555555582046509,0.647727251052856,"rect",1024,0.1,16
"ionosphere",0.555555582046509,0.647727251052856,"cone",256,0.1,16
"ionosphere",0.555555582046509,0.647727251052856,"cone",1024,1,16
"ionosphere",0.555555582046509,0.647727251052856,"rect",256,1,16
"ionosphere",0.555555582046509,0.647727251052856,"cone",1024,0.01,8
"ionosphere",0.555555582046509,0.647727251052856,"cone",512,0.01,8
"ionosphere",0.555555582046509,0.647727251052856,"cone",256,0.01,8
"ionosphere",0.555555582046509,0.647727251052856,"cone",1024,0.1,8
"ionosphere",0.555555582046509,0.647727251052856,"cone",512,0.1,8
"ionosphere",0.555555582046509,0.647727251052856,"rect",1024,1,8
"ionosphere",0.544444468617439,0.352272748947144,"rect",1024,0.1,32
"ionosphere",0.533333349227905,0.352272748947144,"rect",1024,1,16
"ionosphere",0.529629626870155,0.454545468091965,"rect",512,0.1,16
"ionosphere",0.5222222417593,0.647727251052856,"rect",256,1,32
"ionosphere",0.503703713417053,0.647727251052856,"rect",1024,1,32
"ionosphere",0.503703701496124,0.431818187236786,"cone",1024,0.1,16
"ionosphere",0.492592605948448,0.352272748947144,"cone",1024,1,8
"ionosphere",0.488888901472092,0.647727251052856,"rect",256,0.1,32
"ionosphere",0.488888901472092,0.647727251052856,"rect",1024,0.01,32
"ionosphere",0.477777788043022,0.647727251052856,"rect",512,0.01,32
"ionosphere",0.477777788043022,0.352272748947144,"rect",512,0.1,32
"ionosphere",0.466666674613953,0.352272748947144,"cone",256,1,16
"ionosphere",0.455555561184883,0.386363625526428,"rect",512,1,4
"ionosphere",0.444444447755814,0.352272748947144,"rect",256,0.01,32
"ionosphere",0.444444447755814,0.352272748947144,"cone",512,1,16
"ionosphere",0.444444447755814,0.352272748947144,"rect",512,1,8
