"dataset","learningrate","nlayers","layerForm","testAccuracy","nhidden","valAccuracy"
"vertebral-column-3clases",0.01,2,"cone",0.779220759868622,1024,0.888888895511627
"vertebral-column-3clases",0.01,3,"rect",0.727272689342499,256,0.855555528402329
"vertebral-column-3clases",0.01,2,"rect",0.74025970697403,256,0.85185182094574
"vertebral-column-3clases",0.1,2,"rect",0.766233742237091,512,0.84444442987442
"vertebral-column-3clases",0.01,3,"cone",0.727272689342499,256,0.84444442987442
"vertebral-column-3clases",0.01,2,"rect",0.779220759868622,1024,0.844444423913956
"vertebral-column-3clases",0.1,3,"cone",0.727272689342499,256,0.840740716457367
"vertebral-column-3clases",0.1,4,"cone",0.66233766078949,1024,0.840740716457367
"vertebral-column-3clases",1,2,"cone",0.779220759868622,1024,0.837037032842636
"vertebral-column-3clases",0.01,3,"rect",0.818181812763214,1024,0.837037020921707
"vertebral-column-3clases",0.01,4,"rect",0.701298654079437,512,0.837037014961243
"vertebral-column-3clases",1,3,"rect",0.779220759868622,1024,0.833333331346512
"vertebral-column-3clases",0.01,2,"rect",0.792207777500153,512,0.833333313465119
"vertebral-column-3clases",0.1,2,"cone",0.792207777500153,1024,0.833333313465119
"vertebral-column-3clases",0.1,2,"cone",0.75324672460556,256,0.833333313465119
"vertebral-column-3clases",0.1,2,"rect",0.818181872367859,1024,0.829629617929459
"vertebral-column-3clases",1,2,"cone",0.805194795131683,512,0.829629617929459
"vertebral-column-3clases",0.1,3,"rect",0.805194795131683,256,0.829629611968994
"vertebral-column-3clases",0.1,3,"cone",0.727272689342499,1024,0.82592591047287
"vertebral-column-3clases",1,2,"cone",0.818181812763214,256,0.822222220897675
"vertebral-column-3clases",0.1,8,"rect",0.766233742237091,1024,0.82222221493721
"vertebral-column-3clases",0.01,4,"rect",0.766233742237091,1024,0.822222208976746
"vertebral-column-3clases",0.1,4,"rect",0.75324672460556,512,0.822222208976746
"vertebral-column-3clases",0.1,8,"cone",0.714285671710968,1024,0.81851851940155
"vertebral-column-3clases",1,3,"cone",0.75324672460556,512,0.818518507480621
"vertebral-column-3clases",1,4,"cone",0.844155848026276,256,0.814814817905426
"vertebral-column-3clases",0.1,8,"cone",0.727272689342499,512,0.814814805984497
"vertebral-column-3clases",0.1,2,"cone",0.779220759868622,512,0.814814805984497
"vertebral-column-3clases",0.1,4,"rect",0.779220759868622,256,0.811111104488373
"vertebral-column-3clases",0.1,3,"cone",0.636363625526428,512,0.811111104488373
"vertebral-column-3clases",0.1,2,"rect",0.727272689342499,256,0.811111104488373
"vertebral-column-3clases",0.01,2,"cone",0.753246784210205,512,0.807407402992249
"vertebral-column-3clases",0.01,2,"cone",0.766233801841736,256,0.807407402992249
"vertebral-column-3clases",1,4,"cone",0.75324672460556,512,0.807407402992249
"vertebral-column-3clases",0.1,3,"rect",0.857142865657806,512,0.803703701496124
"vertebral-column-3clases",0.1,4,"rect",0.844155848026276,1024,0.8
"vertebral-column-3clases",0.1,3,"rect",0.766233742237091,1024,0.8
"vertebral-column-3clases",0.1,8,"rect",0.714285671710968,512,0.781481492519379
"vertebral-column-3clases",0.1,8,"rect",0.701298654079437,256,0.77407408952713
"vertebral-column-3clases",0.01,3,"rect",0.727272689342499,512,0.77407408952713
"vertebral-column-3clases",1,2,"rect",0.623376607894897,256,0.774074071645737
"vertebral-column-3clases",0.01,3,"cone",0.610389590263367,512,0.770370388031006
"vertebral-column-3clases",1,3,"cone",0.766233742237091,1024,0.762962985038757
"vertebral-column-3clases",0.01,3,"cone",0.701298654079437,1024,0.759259283542633
"vertebral-column-3clases",1,3,"cone",0.831168830394745,256,0.759259271621704
"vertebral-column-3clases",1,3,"rect",0.714285731315613,256,0.759259259700775
"vertebral-column-3clases",1,2,"rect",0.779220759868622,512,0.755555564165115
"vertebral-column-3clases",1,2,"rect",0.675324678421021,1024,0.751851856708527
"vertebral-column-3clases",1,4,"rect",0.662337601184845,512,0.740740758180618
"vertebral-column-3clases",1,3,"rect",0.727272689342499,512,0.740740758180618
"vertebral-column-3clases",1,4,"cone",0.805194795131683,1024,0.737037068605423
"vertebral-column-3clases",0.01,4,"rect",0.649350643157959,256,0.72222226858139
"vertebral-column-3clases",0.01,8,"rect",0.675324618816376,1024,0.714814841747284
"vertebral-column-3clases",1,8,"rect",0.558441519737244,512,0.703703713417053
"vertebral-column-3clases",0.01,4,"cone",0.636363625526428,256,0.703703701496124
"vertebral-column-3clases",1,4,"rect",0.701298654079437,256,0.692592602968216
"vertebral-column-3clases",1,8,"cone",0.727272689342499,512,0.688888895511627
"vertebral-column-3clases",0.1,16,"cone",0.545454502105713,256,0.685185235738754
"vertebral-column-3clases",1,8,"cone",0.714285731315613,256,0.67407408952713
"vertebral-column-3clases",0.01,4,"cone",0.623376607894897,1024,0.644444453716278
"vertebral-column-3clases",1,4,"rect",0.506493449211121,1024,0.633333361148834
"vertebral-column-3clases",1,8,"rect",0.558441519737244,256,0.61851851940155
"vertebral-column-3clases",1,16,"cone",0.649350702762604,1024,0.600000011920929
"vertebral-column-3clases",1,8,"cone",0.623376607894897,1024,0.585185188055038
"vertebral-column-3clases",1,8,"rect",0.58441561460495,1024,0.574074071645737
"vertebral-column-3clases",0.1,16,"rect",0.597402632236481,256,0.566666674613953
"vertebral-column-3clases",0.1,16,"cone",0.480519473552704,512,0.548148167133331
"vertebral-column-3clases",0.01,4,"cone",0.480519473552704,512,0.537037044763565
"vertebral-column-3clases",0.1,4,"cone",0.480519473552704,512,0.537037044763565
"vertebral-column-3clases",1,16,"rect",0.493506491184235,512,0.537037032842636
"vertebral-column-3clases",0.1,32,"cone",0.415584415197372,256,0.525925940275192
"vertebral-column-3clases",0.01,8,"rect",0.480519473552704,256,0.525925916433334
"vertebral-column-3clases",0.01,32,"cone",0.480519473552704,512,0.52222221493721
"vertebral-column-3clases",0.01,32,"cone",0.480519473552704,1024,0.518518507480621
"vertebral-column-3clases",0.01,32,"cone",0.480519473552704,256,0.518518507480621
"vertebral-column-3clases",0.1,32,"cone",0.480519473552704,512,0.518518507480621
"vertebral-column-3clases",1,32,"cone",0.480519473552704,1024,0.518518507480621
"vertebral-column-3clases",1,32,"cone",0.480519473552704,512,0.518518507480621
"vertebral-column-3clases",1,32,"cone",0.480519473552704,256,0.518518507480621
"vertebral-column-3clases",1,32,"rect",0.480519473552704,256,0.518518507480621
"vertebral-column-3clases",0.01,16,"cone",0.480519473552704,1024,0.518518507480621
"vertebral-column-3clases",0.01,16,"rect",0.480519473552704,1024,0.518518507480621
"vertebral-column-3clases",0.01,16,"cone",0.480519473552704,512,0.518518507480621
"vertebral-column-3clases",0.01,16,"rect",0.480519473552704,512,0.518518507480621
"vertebral-column-3clases",0.01,16,"cone",0.480519473552704,256,0.518518507480621
"vertebral-column-3clases",0.01,16,"rect",0.480519473552704,256,0.518518507480621
"vertebral-column-3clases",0.1,16,"cone",0.480519473552704,1024,0.518518507480621
"vertebral-column-3clases",0.1,16,"rect",0.480519473552704,1024,0.518518507480621
"vertebral-column-3clases",0.1,16,"rect",0.480519473552704,512,0.518518507480621
"vertebral-column-3clases",1,16,"rect",0.480519473552704,1024,0.518518507480621
"vertebral-column-3clases",1,16,"rect",0.480519473552704,256,0.518518507480621
"vertebral-column-3clases",0.01,8,"cone",0.480519473552704,1024,0.518518507480621
"vertebral-column-3clases",0.01,8,"cone",0.480519473552704,512,0.518518507480621
"vertebral-column-3clases",0.01,8,"rect",0.480519473552704,512,0.518518507480621
"vertebral-column-3clases",0.01,8,"cone",0.480519473552704,256,0.518518507480621
"vertebral-column-3clases",0.1,8,"cone",0.480519473552704,256,0.518518507480621
"vertebral-column-3clases",0.1,4,"cone",0.480519473552704,256,0.518518507480621
"vertebral-column-3clases",0.1,32,"rect",0.194805204868317,1024,0.462962955981493
"vertebral-column-3clases",0.1,32,"rect",0.194805204868317,256,0.462962955981493
"vertebral-column-3clases",1,32,"rect",0.480519473552704,512,0.459259259700775
"vertebral-column-3clases",1,16,"cone",0.311688303947449,512,0.451851855218411
"vertebral-column-3clases",0.01,32,"rect",0.207792207598686,256,0.448148144036532
"vertebral-column-3clases",0.1,32,"rect",0.480519473552704,512,0.422222216427326
"vertebral-column-3clases",1,16,"cone",0.480519473552704,256,0.407407404482365
"vertebral-column-3clases",0.1,32,"cone",0.324675321578979,1024,0.403703708201647
"vertebral-column-3clases",0.01,32,"rect",0.324675321578979,1024,0.385185199975967
"vertebral-column-3clases",1,32,"rect",0.324675321578979,1024,0.370370388031006
"vertebral-column-3clases",0.01,32,"rect",0.194805204868317,512,0.314814809709787
