,nlayers,layerForm,activationFn,dR,valAccuracy,dropoutFn,learningrate,nstart,testAccuracy
0,2,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,256,0.03703703731298447
1,2,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,512,0.03703703731298447
2,2,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,1024,0.03703703731298447
3,2,rect,3,0.0,0.9669724464416504,<function dropout at 0x7f4a100cca60>,1.0,256,0.9837964177131653
4,2,rect,3,0.0,0.05917430594563486,<function dropout at 0x7f4a100cca60>,1.0,512,0.03703703731298447
5,2,rect,3,0.0,0.030275230575352922,<function dropout at 0x7f4a100cca60>,1.0,1024,0.03703703731298447
6,2,rect,3,0.0,0.9610091269016265,<function dropout at 0x7f4a100cca60>,0.1,256,0.9699074625968933
7,2,rect,3,0.0,0.9614678561687472,<function dropout at 0x7f4a100cca60>,0.1,512,0.9675926566123962
8,2,rect,3,0.0,0.9633027076721192,<function dropout at 0x7f4a100cca60>,0.1,1024,0.9745369553565979
9,2,rect,3,0.0,0.9316513240337373,<function dropout at 0x7f4a100cca60>,0.01,256,0.9305555820465088
10,2,rect,3,0.0,0.9394495308399201,<function dropout at 0x7f4a100cca60>,0.01,512,0.9212962985038757
11,2,rect,3,0.0,0.9399082422256471,<function dropout at 0x7f4a100cca60>,0.01,1024,0.9467592239379883
12,2,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,256,0.03703703731298447
13,2,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,512,0.03703703731298447
14,2,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,1024,0.03703703731298447
15,2,rect,3,0.5,0.945412814617157,<function dropout at 0x7f4a100cca60>,1.0,256,0.9629629850387573
16,2,rect,3,0.5,0.048623848706483855,<function dropout at 0x7f4a100cca60>,1.0,512,0.03703703731298447
17,2,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,1024,0.03703703731298447
18,2,rect,3,0.5,0.8940366566181183,<function dropout at 0x7f4a100cca60>,0.1,256,0.9050926566123962
19,2,rect,3,0.5,0.8770641684532167,<function dropout at 0x7f4a100cca60>,0.1,512,0.8888888955116272
20,2,rect,3,0.5,0.87477063536644,<function dropout at 0x7f4a100cca60>,0.1,1024,0.8888888359069824
21,2,rect,3,0.5,0.8307339072227478,<function dropout at 0x7f4a100cca60>,0.01,256,0.8541666865348816
22,2,rect,3,0.5,0.8798164665699006,<function dropout at 0x7f4a100cca60>,0.01,512,0.8981481790542603
23,2,rect,3,0.5,0.8807339191436769,<function dropout at 0x7f4a100cca60>,0.01,1024,0.8888888359069824
24,3,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,256,0.03703703731298447
25,3,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,512,0.03703703731298447
26,3,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,1024,0.03703703731298447
27,3,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,256,0.03703703731298447
28,3,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,512,0.03703703731298447
29,3,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,1024,0.03703703731298447
30,3,rect,3,0.0,0.969266015291214,<function dropout at 0x7f4a100cca60>,0.1,256,0.9837964177131653
31,3,rect,3,0.0,0.9770641565322874,<function dropout at 0x7f4a100cca60>,0.1,512,0.9745370745658875
32,3,rect,3,0.0,0.9674311459064483,<function dropout at 0x7f4a100cca60>,0.1,1024,0.9722222685813904
33,3,rect,3,0.0,0.9495412826538087,<function dropout at 0x7f4a100cca60>,0.01,256,0.9351851940155029
34,3,rect,3,0.0,0.9467889964580537,<function dropout at 0x7f4a100cca60>,0.01,512,0.951388955116272
35,3,rect,3,0.0,0.959174257516861,<function dropout at 0x7f4a100cca60>,0.01,1024,0.9722222089767456
36,3,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,256,0.03703703731298447
37,3,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,512,0.03703703731298447
38,3,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,1024,0.03703703731298447
39,3,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,256,0.03703703731298447
40,3,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,512,0.03703703731298447
41,3,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,1024,0.03703703731298447
42,3,rect,3,0.5,0.8444953858852386,<function dropout at 0x7f4a100cca60>,0.1,256,0.8356481790542603
43,3,rect,3,0.5,0.864678865671158,<function dropout at 0x7f4a100cca60>,0.1,512,0.8726851940155029
44,3,rect,3,0.5,0.8316513538360596,<function dropout at 0x7f4a100cca60>,0.1,1024,0.8263888955116272
45,3,rect,3,0.5,0.7857797920703888,<function dropout at 0x7f4a100cca60>,0.01,256,0.7986111640930176
46,3,rect,3,0.5,0.7876146614551546,<function dropout at 0x7f4a100cca60>,0.01,512,0.7870370149612427
47,3,rect,3,0.5,0.7756880283355714,<function dropout at 0x7f4a100cca60>,0.01,1024,0.7824074029922485
48,4,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,256,0.03703703731298447
49,4,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,512,0.03703703731298447
50,4,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,1024,0.03703703731298447
51,4,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,256,0.03703703731298447
52,4,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,512,0.03703703731298447
53,4,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,1024,0.03703703731298447
54,4,rect,3,0.0,0.9688072919845581,<function dropout at 0x7f4a100cca60>,0.1,256,0.9745370745658875
55,4,rect,3,0.0,0.9811926245689391,<function dropout at 0x7f4a100cca60>,0.1,512,0.9791666865348816
56,4,rect,3,0.0,0.9834861814975738,<function dropout at 0x7f4a100cca60>,0.1,1024,0.9791666865348816
57,4,rect,3,0.0,0.9353210568428041,<function dropout at 0x7f4a100cca60>,0.01,256,0.9421296715736389
58,4,rect,3,0.0,0.9550458610057833,<function dropout at 0x7f4a100cca60>,0.01,512,0.9259259700775146
59,4,rect,3,0.0,0.9610091447830202,<function dropout at 0x7f4a100cca60>,0.01,1024,0.9675925374031067
60,4,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,256,0.03703703731298447
61,4,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,512,0.03703703731298447
62,4,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,1024,0.03703703731298447
63,4,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,256,0.03703703731298447
64,4,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,512,0.03703703731298447
65,4,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,1024,0.03703703731298447
66,4,rect,3,0.5,0.8224770367145539,<function dropout at 0x7f4a100cca60>,0.1,256,0.8101851940155029
67,4,rect,3,0.5,0.8669724524021151,<function dropout at 0x7f4a100cca60>,0.1,512,0.8634259700775146
68,4,rect,3,0.5,0.9073394298553465,<function dropout at 0x7f4a100cca60>,0.1,1024,0.9236111044883728
69,4,rect,3,0.5,0.7802752017974853,<function dropout at 0x7f4a100cca60>,0.01,256,0.7777777910232544
70,4,rect,3,0.5,0.7339449167251587,<function dropout at 0x7f4a100cca60>,0.01,512,0.7291667461395264
71,4,rect,3,0.5,0.7247706115245819,<function dropout at 0x7f4a100cca60>,0.01,1024,0.7129629254341125
72,8,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,256,0.03703703731298447
73,8,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,512,0.03703703731298447
74,8,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,1024,0.03703703731298447
75,8,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,256,0.03703703731298447
76,8,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,512,0.03703703731298447
77,8,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,1024,0.03703703731298447
78,8,rect,3,0.0,0.9747706055641173,<function dropout at 0x7f4a100cca60>,0.1,256,0.9837964177131653
79,8,rect,3,0.0,0.03807339565828444,<function dropout at 0x7f4a100cca60>,0.1,512,0.03703703731298447
80,8,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,0.1,1024,0.03703703731298447
81,8,rect,3,0.0,0.9628440201282503,<function dropout at 0x7f4a100cca60>,0.01,256,0.9699074625968933
82,8,rect,3,0.0,0.9555045604705811,<function dropout at 0x7f4a100cca60>,0.01,512,0.9699074029922485
83,8,rect,3,0.0,0.9770641326904296,<function dropout at 0x7f4a100cca60>,0.01,1024,0.9791666865348816
84,8,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,256,0.03703703731298447
85,8,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,512,0.03703703731298447
86,8,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,1024,0.03703703731298447
87,8,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,256,0.03703703731298447
88,8,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,512,0.03703703731298447
89,8,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,1024,0.03703703731298447
90,8,rect,3,0.5,0.8844036221504212,<function dropout at 0x7f4a100cca60>,0.1,256,0.8310185670852661
91,8,rect,3,0.5,0.07293577985838051,<function dropout at 0x7f4a100cca60>,0.1,512,0.03703703731298447
92,8,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,0.1,1024,0.03703703731298447
93,8,rect,3,0.5,0.5532109677791596,<function dropout at 0x7f4a100cca60>,0.01,256,0.4722222089767456
94,8,rect,3,0.5,0.5848623514175416,<function dropout at 0x7f4a100cca60>,0.01,512,0.5509259104728699
95,8,rect,3,0.5,0.6509174108505248,<function dropout at 0x7f4a100cca60>,0.01,1024,0.6666667461395264
96,16,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,256,0.03703703731298447
97,16,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,512,0.03703703731298447
98,16,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,1024,0.03703703731298447
99,16,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,256,0.03703703731298447
100,16,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,512,0.03703703731298447
101,16,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,1024,0.03703703731298447
102,16,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,0.1,256,0.03703703731298447
103,16,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,0.1,512,0.03703703731298447
104,16,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,0.1,1024,0.03703703731298447
105,16,rect,3,0.0,0.9761467814445496,<function dropout at 0x7f4a100cca60>,0.01,256,0.9791666865348816
106,16,rect,3,0.0,0.9692660391330721,<function dropout at 0x7f4a100cca60>,0.01,512,0.9791666865348816
107,16,rect,3,0.0,0.9770641684532164,<function dropout at 0x7f4a100cca60>,0.01,1024,0.9861112236976624
108,16,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,256,0.03703703731298447
109,16,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,512,0.03703703731298447
110,16,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,1024,0.03703703731298447
111,16,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,256,0.03703703731298447
112,16,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,512,0.03703703731298447
113,16,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,1024,0.03703703731298447
114,16,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,0.1,256,0.03703703731298447
115,16,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,0.1,512,0.03703703731298447
116,16,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,0.1,1024,0.03703703731298447
117,16,rect,3,0.5,0.07064219452440737,<function dropout at 0x7f4a100cca60>,0.01,256,0.0347222238779068
118,16,rect,3,0.5,0.06834861859679223,<function dropout at 0x7f4a100cca60>,0.01,512,0.0486111156642437
119,16,rect,3,0.5,0.24311925396323206,<function dropout at 0x7f4a100cca60>,0.01,1024,0.2291666567325592
120,32,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,256,0.03703703731298447
121,32,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,512,0.03703703731298447
122,32,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,1024,0.03703703731298447
123,32,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,256,0.03703703731298447
124,32,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,512,0.03703703731298447
125,32,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,1024,0.03703703731298447
126,32,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,0.1,256,0.03703703731298447
127,32,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,0.1,512,0.03703703731298447
128,32,rect,3,0.0,0.004587155766785145,<function dropout at 0x7f4a100cca60>,0.1,1024,0.03703703731298447
129,32,rect,3,0.0,0.9600917041301729,<function dropout at 0x7f4a100cca60>,0.01,256,0.9652778506278992
130,32,rect,3,0.0,0.9724770128726958,<function dropout at 0x7f4a100cca60>,0.01,512,0.9722222685813904
131,32,rect,3,0.0,0.9862384974956512,<function dropout at 0x7f4a100cca60>,0.01,1024,0.9791668057441711
132,32,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,256,0.03703703731298447
133,32,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,512,0.03703703731298447
134,32,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,10.0,1024,0.03703703731298447
135,32,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,256,0.03703703731298447
136,32,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,512,0.03703703731298447
137,32,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,1.0,1024,0.03703703731298447
138,32,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,0.1,256,0.03703703731298447
139,32,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,0.1,512,0.03703703731298447
140,32,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,0.1,1024,0.03703703731298447
141,32,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,0.01,256,0.03703703731298447
142,32,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,0.01,512,0.03703703731298447
143,32,rect,3,0.5,0.004587155766785145,<function dropout at 0x7f4a100cca60>,0.01,1024,0.03703703731298447
