,valAccuracy,layerForm,nlayers,dR,dropoutFn,activationFn,nstart,testAccuracy,learningrate
0,0.755438506603241,cone,2,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,10.0
1,0.859222286939621,cone,2,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.8470606803894043,1.0
2,0.8687015295028686,cone,2,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.8661855459213257,0.1
3,0.8463679611682892,cone,2,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.8538698554039001,0.01
4,0.7554385006427765,cone,2,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,10.0
5,0.5519842788577081,cone,2,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.2461957037448883,1.0
6,0.8680159747600555,cone,2,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.8661263585090637,0.1
7,0.8574424624443056,cone,2,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.8597316741943359,0.01
8,0.755438506603241,cone,2,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,10.0
9,0.755438506603241,cone,2,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,1.0
10,0.8716283500194549,cone,2,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.8715144395828247,0.1
11,0.8613448977470399,cone,2,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.8619816303253174,0.01
12,0.755438506603241,cone,2,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,10.0
13,0.7859328806400299,cone,2,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7771333456039429,1.0
14,0.7852604746818543,cone,2,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7925872206687927,0.1
15,0.755438506603241,cone,2,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,0.01
16,0.7554385125637055,cone,2,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,10.0
17,0.702267748117447,cone,2,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7480019330978394,1.0
18,0.7976665616035463,cone,2,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7903964519500732,0.1
19,0.7562954187393188,cone,2,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.755817711353302,0.01
20,0.7554385006427765,cone,2,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,10.0
21,0.755438506603241,cone,2,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,1.0
22,0.8043639838695525,cone,2,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7979753613471985,0.1
23,0.7605406522750855,cone,2,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7616795301437378,0.01
24,0.7554384887218476,cone,3,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045048713684,10.0
25,0.8426501274108887,cone,3,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.8407843708992004,1.0
26,0.8702835857868194,cone,3,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.8675473928451538,0.1
27,0.8550825476646424,cone,3,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.8558237552642822,0.01
28,0.755438506603241,cone,3,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,10.0
29,0.7043508231639862,cone,3,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.2461957037448883,1.0
30,0.8694793939590454,cone,3,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.8720473647117615,0.1
31,0.8603561222553253,cone,3,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.8606197834014893,0.01
32,0.7554385006427765,cone,3,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,10.0
33,0.755438506603241,cone,3,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,1.0
34,0.8683323800563811,cone,3,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.8690868616104126,0.1
35,0.8706659495830535,cone,3,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.8733500242233276,0.01
36,0.7554385125637054,cone,3,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,10.0
37,0.7864602446556092,cone,3,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7667715549468994,1.0
38,0.7879631996154786,cone,3,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7841792702674866,0.1
39,0.755438506603241,cone,3,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,0.01
40,0.755438506603241,cone,3,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,10.0
41,0.75543851852417,cone,3,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,1.0
42,0.806803023815155,cone,3,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.8092845678329468,0.1
43,0.7554385006427765,cone,3,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,0.01
44,0.7554384887218476,cone,3,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,10.0
45,0.7554385006427765,cone,3,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,1.0
46,0.8245090305805206,cone,3,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.8302450180053711,0.1
47,0.7581939280033112,cone,3,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7588374614715576,0.01
48,0.24456167221069333,cone,4,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.2461957037448883,10.0
49,0.850494521856308,cone,4,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.8590211272239685,1.0
50,0.8673567593097686,cone,4,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.8637579083442688,0.1
51,0.861687695980072,cone,4,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.8554685115814209,0.01
52,0.7554385006427765,cone,4,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,10.0
53,0.6532631397247315,cone,4,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.2461957037448883,1.0
54,0.8681873500347139,cone,4,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.8686723709106445,0.1
55,0.8648913741111753,cone,4,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.8651197552680969,0.01
56,0.755438506603241,cone,4,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,10.0
57,0.7554385006427765,cone,4,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,1.0
58,0.8665921032428741,cone,4,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.8674289584159851,0.1
59,0.8712724030017853,cone,4,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.8710407614707947,0.01
60,0.75543851852417,cone,4,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,10.0
61,0.7554385125637054,cone,4,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,1.0
62,0.755438506603241,cone,4,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,0.1
63,0.755438506603241,cone,4,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,0.01
64,0.7554385125637055,cone,4,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,10.0
65,0.7554385125637055,cone,4,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,1.0
66,0.806367975473404,cone,4,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.8004029989242554,0.1
67,0.7554385125637055,cone,4,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,0.01
68,0.7554385006427765,cone,4,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,10.0
69,0.755438506603241,cone,4,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,1.0
70,0.8309032320976256,cone,4,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.8323172330856323,0.1
71,0.756097674369812,cone,4,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7552847862243652,0.01
72,0.755438506603241,cone,8,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,10.0
73,0.24456167221069333,cone,8,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.2461957037448883,1.0
74,0.8634147584438325,cone,8,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.8666000366210938,0.1
75,0.8622414231300354,cone,8,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.8586658239364624,0.01
76,0.7554385006427765,cone,8,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,10.0
77,0.8368887305259706,cone,8,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.8475934863090515,1.0
78,0.8613317251205445,cone,8,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.8560605645179749,0.1
79,0.863401561975479,cone,8,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.8623368144035339,0.01
80,0.7554384887218476,cone,8,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,10.0
81,0.7560054063796997,cone,8,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,1.0
82,0.8652209699153901,cone,8,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.8682579398155212,0.1
83,0.8655637621879578,cone,8,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.8680211305618286,0.01
84,0.755438506603241,cone,8,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,10.0
85,0.7554384946823121,cone,8,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,1.0
86,0.755438506603241,cone,8,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,0.1
87,0.7554385244846344,cone,8,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,0.01
88,0.755438506603241,cone,8,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,10.0
89,0.755438506603241,cone,8,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,1.0
90,0.755438506603241,cone,8,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,0.1
91,0.7554385006427765,cone,8,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045048713684,0.01
92,0.755438506603241,cone,8,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,10.0
93,0.755438506603241,cone,8,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,1.0
94,0.755438506603241,cone,8,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,0.1
95,0.755438506603241,cone,8,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,0.01
96,0.75543851852417,cone,16,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,10.0
97,0.7554385006427765,cone,16,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045048713684,1.0
98,0.8618854641914367,cone,16,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.8647645115852356,0.1
99,0.8541464865207673,cone,16,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.8517974615097046,0.01
100,0.7554385006427765,cone,16,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,10.0
101,0.755438506603241,cone,16,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,1.0
102,0.8647463500499725,cone,16,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.8580737709999084,0.1
103,0.8551484584808349,cone,16,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.85197514295578,0.01
104,0.755438506603241,cone,16,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,10.0
105,0.755438506603241,cone,16,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,1.0
106,0.8680291533470154,cone,16,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.86979740858078,0.1
107,0.8532236158847809,cone,16,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.8358107209205627,0.01
108,0.755438506603241,cone,16,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,10.0
109,0.7554385006427765,cone,16,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,1.0
110,0.7554385066032411,cone,16,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,0.1
111,0.7554385125637055,cone,16,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,0.01
112,0.7554385006427765,cone,16,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,10.0
113,0.7554384946823121,cone,16,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,1.0
114,0.755438506603241,cone,16,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,0.1
115,0.7554385006427765,cone,16,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,0.01
116,0.7554385364055634,cone,16,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,10.0
117,0.755438506603241,cone,16,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,1.0
118,0.755438506603241,cone,16,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,0.1
119,0.7554384887218476,cone,16,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045048713684,0.01
120,0.7554384946823121,cone,32,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045048713684,10.0
121,0.7554385304450989,cone,32,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,1.0
122,0.8627028524875641,cone,32,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.8596131801605225,0.1
123,0.8529731273651122,cone,32,0.0,<function dropout at 0x7f35ae7fda60>,3,256,0.8506132364273071,0.01
124,0.6532631412148476,cone,32,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.2461957186460495,10.0
125,0.7579961597919466,cone,32,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,1.0
126,0.8639685213565828,cone,32,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.863224983215332,0.1
127,0.854014652967453,cone,32,0.0,<function dropout at 0x7f35ae7fda60>,3,512,0.8546987771987915,0.01
128,0.755438506603241,cone,32,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,10.0
129,0.755438506603241,cone,32,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,1.0
130,0.8707054972648622,cone,32,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.8696197271347046,0.1
131,0.8562031745910645,cone,32,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.8605013489723206,0.01
132,0.7554385125637055,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,10.0
133,0.755438506603241,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,1.0
134,0.755438506603241,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,0.1
135,0.7554385006427765,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,0.01
136,0.7554385006427765,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,10.0
137,0.7554384946823121,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,1.0
138,0.755438506603241,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,0.1
139,0.75543851852417,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,0.01
140,0.7554384887218476,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045048713684,10.0
141,0.75543851852417,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,1.0
142,0.7554385006427765,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,0.1
143,0.755438506603241,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,0.01
