,dR,testAccuracy,valAccuracy,activationFn,nlayers,nstart,dropoutFn,learningrate,layerForm
0,0.0,0.4418604373931885,0.54054057598114,3,2,256,<function dropout at 0x7fcb1e66ea60>,10.0,rect
1,0.0,0.4418604373931885,0.54054057598114,3,2,256,<function dropout at 0x7fcb1e66ea60>,1.0,rect
2,0.0,0.8430231809616089,0.8459459722042083,3,2,256,<function dropout at 0x7fcb1e66ea60>,0.1,rect
3,0.0,0.84883713722229,0.8378378748893737,3,2,256,<function dropout at 0x7fcb1e66ea60>,0.01,rect
4,0.0,0.44186049699783325,0.54054057598114,3,2,512,<function dropout at 0x7fcb1e66ea60>,10.0,rect
5,0.0,0.44186049699783325,0.54054057598114,3,2,512,<function dropout at 0x7fcb1e66ea60>,1.0,rect
6,0.0,0.8546512126922607,0.8243243515491486,3,2,512,<function dropout at 0x7fcb1e66ea60>,0.1,rect
7,0.0,0.8604650497436523,0.8581081330776215,3,2,512,<function dropout at 0x7fcb1e66ea60>,0.01,rect
8,0.0,0.44186046719551086,0.54054057598114,3,2,1024,<function dropout at 0x7fcb1e66ea60>,10.0,rect
9,0.0,0.44186046719551086,0.54054057598114,3,2,1024,<function dropout at 0x7fcb1e66ea60>,1.0,rect
10,0.0,0.8546512126922607,0.8554054319858552,3,2,1024,<function dropout at 0x7fcb1e66ea60>,0.1,rect
11,0.0,0.883720874786377,0.8783783912658693,3,2,1024,<function dropout at 0x7fcb1e66ea60>,0.01,rect
12,0.0,0.4418604373931885,0.54054057598114,3,3,256,<function dropout at 0x7fcb1e66ea60>,10.0,rect
13,0.0,0.4418604373931885,0.54054057598114,3,3,256,<function dropout at 0x7fcb1e66ea60>,1.0,rect
14,0.0,0.8720929622650146,0.8175676167011261,3,3,256,<function dropout at 0x7fcb1e66ea60>,0.1,rect
15,0.0,0.8604650497436523,0.8297297716140748,3,3,256,<function dropout at 0x7fcb1e66ea60>,0.01,rect
16,0.0,0.4418604373931885,0.54054057598114,3,3,512,<function dropout at 0x7fcb1e66ea60>,10.0,rect
17,0.0,0.4418604373931885,0.54054057598114,3,3,512,<function dropout at 0x7fcb1e66ea60>,1.0,rect
18,0.0,0.8779069781303406,0.82297300696373,3,3,512,<function dropout at 0x7fcb1e66ea60>,0.1,rect
19,0.0,0.8430233001708984,0.832432472705841,3,3,512,<function dropout at 0x7fcb1e66ea60>,0.01,rect
20,0.0,0.44186046719551086,0.54054057598114,3,3,1024,<function dropout at 0x7fcb1e66ea60>,10.0,rect
21,0.0,0.44186046719551086,0.54054057598114,3,3,1024,<function dropout at 0x7fcb1e66ea60>,1.0,rect
22,0.0,0.883720874786377,0.8121621906757356,3,3,1024,<function dropout at 0x7fcb1e66ea60>,0.1,rect
23,0.0,0.883720874786377,0.8513513803482056,3,3,1024,<function dropout at 0x7fcb1e66ea60>,0.01,rect
24,0.0,0.4418604373931885,0.54054057598114,3,4,256,<function dropout at 0x7fcb1e66ea60>,10.0,rect
25,0.0,0.44186046719551086,0.5540540874004363,3,4,256,<function dropout at 0x7fcb1e66ea60>,1.0,rect
26,0.0,0.8720929622650146,0.8324324667453767,3,4,256,<function dropout at 0x7fcb1e66ea60>,0.1,rect
27,0.0,0.8488372564315796,0.8783783912658693,3,4,256,<function dropout at 0x7fcb1e66ea60>,0.01,rect
28,0.0,0.44186046719551086,0.54054057598114,3,4,512,<function dropout at 0x7fcb1e66ea60>,10.0,rect
29,0.0,0.44186049699783325,0.54054057598114,3,4,512,<function dropout at 0x7fcb1e66ea60>,1.0,rect
30,0.0,0.8372093439102173,0.8175676047801971,3,4,512,<function dropout at 0x7fcb1e66ea60>,0.1,rect
31,0.0,0.8662790060043335,0.8513513803482056,3,4,512,<function dropout at 0x7fcb1e66ea60>,0.01,rect
32,0.0,0.44186049699783325,0.54054057598114,3,4,1024,<function dropout at 0x7fcb1e66ea60>,10.0,rect
33,0.0,0.44186046719551086,0.54054057598114,3,4,1024,<function dropout at 0x7fcb1e66ea60>,1.0,rect
34,0.0,0.8662790060043335,0.8189189434051514,3,4,1024,<function dropout at 0x7fcb1e66ea60>,0.1,rect
35,0.0,0.8779069781303406,0.8418919205665588,3,4,1024,<function dropout at 0x7fcb1e66ea60>,0.01,rect
36,0.0,0.4418604373931885,0.54054057598114,3,8,256,<function dropout at 0x7fcb1e66ea60>,10.0,rect
37,0.0,0.4418604373931885,0.54054057598114,3,8,256,<function dropout at 0x7fcb1e66ea60>,1.0,rect
38,0.0,0.8662790656089783,0.8216216564178467,3,8,256,<function dropout at 0x7fcb1e66ea60>,0.1,rect
39,0.0,0.8779069185256958,0.8432432770729065,3,8,256,<function dropout at 0x7fcb1e66ea60>,0.01,rect
40,0.0,0.44186046719551086,0.54054057598114,3,8,512,<function dropout at 0x7fcb1e66ea60>,10.0,rect
41,0.0,0.44186046719551086,0.54054057598114,3,8,512,<function dropout at 0x7fcb1e66ea60>,1.0,rect
42,0.0,0.44186049699783325,0.54054057598114,3,8,512,<function dropout at 0x7fcb1e66ea60>,0.1,rect
43,0.0,0.854651153087616,0.8513513803482056,3,8,512,<function dropout at 0x7fcb1e66ea60>,0.01,rect
44,0.0,0.4418604373931885,0.54054057598114,3,8,1024,<function dropout at 0x7fcb1e66ea60>,10.0,rect
45,0.0,0.44186046719551086,0.54054057598114,3,8,1024,<function dropout at 0x7fcb1e66ea60>,1.0,rect
46,0.0,0.44186046719551086,0.54054057598114,3,8,1024,<function dropout at 0x7fcb1e66ea60>,0.1,rect
47,0.0,0.8546512126922607,0.7986486852169038,3,8,1024,<function dropout at 0x7fcb1e66ea60>,0.01,rect
48,0.0,0.44186046719551086,0.54054057598114,3,16,256,<function dropout at 0x7fcb1e66ea60>,10.0,rect
49,0.0,0.44186046719551086,0.54054057598114,3,16,256,<function dropout at 0x7fcb1e66ea60>,1.0,rect
50,0.0,0.4418604373931885,0.54054057598114,3,16,256,<function dropout at 0x7fcb1e66ea60>,0.1,rect
51,0.0,0.8430233001708984,0.7959459722042085,3,16,256,<function dropout at 0x7fcb1e66ea60>,0.01,rect
52,0.0,0.44186049699783325,0.54054057598114,3,16,512,<function dropout at 0x7fcb1e66ea60>,10.0,rect
53,0.0,0.44186049699783325,0.54054057598114,3,16,512,<function dropout at 0x7fcb1e66ea60>,1.0,rect
54,0.0,0.4418604373931885,0.54054057598114,3,16,512,<function dropout at 0x7fcb1e66ea60>,0.1,rect
55,0.0,0.8720929622650146,0.8351351737976076,3,16,512,<function dropout at 0x7fcb1e66ea60>,0.01,rect
56,0.0,0.44186046719551086,0.54054057598114,3,16,1024,<function dropout at 0x7fcb1e66ea60>,10.0,rect
57,0.0,0.4418604373931885,0.54054057598114,3,16,1024,<function dropout at 0x7fcb1e66ea60>,1.0,rect
58,0.0,0.44186046719551086,0.54054057598114,3,16,1024,<function dropout at 0x7fcb1e66ea60>,0.1,rect
59,0.0,0.84883713722229,0.8108108520507813,3,16,1024,<function dropout at 0x7fcb1e66ea60>,0.01,rect
60,0.0,0.4418604373931885,0.54054057598114,3,32,256,<function dropout at 0x7fcb1e66ea60>,10.0,rect
61,0.0,0.4418604373931885,0.54054057598114,3,32,256,<function dropout at 0x7fcb1e66ea60>,1.0,rect
62,0.0,0.44186046719551086,0.54054057598114,3,32,256,<function dropout at 0x7fcb1e66ea60>,0.1,rect
63,0.0,0.8139534592628479,0.8175676107406616,3,32,256,<function dropout at 0x7fcb1e66ea60>,0.01,rect
64,0.0,0.44186049699783325,0.54054057598114,3,32,512,<function dropout at 0x7fcb1e66ea60>,10.0,rect
65,0.0,0.4418604373931885,0.54054057598114,3,32,512,<function dropout at 0x7fcb1e66ea60>,1.0,rect
66,0.0,0.44186046719551086,0.54054057598114,3,32,512,<function dropout at 0x7fcb1e66ea60>,0.1,rect
67,0.0,0.8430232405662537,0.8135135412216186,3,32,512,<function dropout at 0x7fcb1e66ea60>,0.01,rect
68,0.0,0.44186049699783325,0.54054057598114,3,32,1024,<function dropout at 0x7fcb1e66ea60>,10.0,rect
69,0.0,0.44186046719551086,0.54054057598114,3,32,1024,<function dropout at 0x7fcb1e66ea60>,1.0,rect
70,0.0,0.4418604373931885,0.54054057598114,3,32,1024,<function dropout at 0x7fcb1e66ea60>,0.1,rect
71,0.0,0.8604651689529419,0.8324324667453767,3,32,1024,<function dropout at 0x7fcb1e66ea60>,0.01,rect
72,0.5,0.44186046719551086,0.54054057598114,3,2,256,<function dropout at 0x7fcb1e66ea60>,10.0,rect
73,0.5,0.44186046719551086,0.5445946335792541,3,2,256,<function dropout at 0x7fcb1e66ea60>,1.0,rect
74,0.5,0.8662790060043335,0.8621621847152711,3,2,256,<function dropout at 0x7fcb1e66ea60>,0.1,rect
75,0.5,0.8546512126922607,0.8608108341693878,3,2,256,<function dropout at 0x7fcb1e66ea60>,0.01,rect
76,0.5,0.4418604373931885,0.54054057598114,3,2,512,<function dropout at 0x7fcb1e66ea60>,10.0,rect
77,0.5,0.4418604373931885,0.5581081390380859,3,2,512,<function dropout at 0x7fcb1e66ea60>,1.0,rect
78,0.5,0.8720929622650146,0.8432432770729065,3,2,512,<function dropout at 0x7fcb1e66ea60>,0.1,rect
79,0.5,0.8662790060043335,0.8378378748893738,3,2,512,<function dropout at 0x7fcb1e66ea60>,0.01,rect
80,0.5,0.44186049699783325,0.54054057598114,3,2,1024,<function dropout at 0x7fcb1e66ea60>,10.0,rect
81,0.5,0.44186046719551086,0.54054057598114,3,2,1024,<function dropout at 0x7fcb1e66ea60>,1.0,rect
82,0.5,0.866279125213623,0.8432432770729064,3,2,1024,<function dropout at 0x7fcb1e66ea60>,0.1,rect
83,0.5,0.8546510934829712,0.8648648858070375,3,2,1024,<function dropout at 0x7fcb1e66ea60>,0.01,rect
84,0.5,0.44186046719551086,0.54054057598114,3,3,256,<function dropout at 0x7fcb1e66ea60>,10.0,rect
85,0.5,0.44186046719551086,0.54054057598114,3,3,256,<function dropout at 0x7fcb1e66ea60>,1.0,rect
86,0.5,0.8662790060043335,0.854054081439972,3,3,256,<function dropout at 0x7fcb1e66ea60>,0.1,rect
87,0.5,0.8720929622650146,0.8608108341693878,3,3,256,<function dropout at 0x7fcb1e66ea60>,0.01,rect
88,0.5,0.44186049699783325,0.54054057598114,3,3,512,<function dropout at 0x7fcb1e66ea60>,10.0,rect
89,0.5,0.4418604373931885,0.54054057598114,3,3,512,<function dropout at 0x7fcb1e66ea60>,1.0,rect
90,0.5,0.8662790060043335,0.8567567825317383,3,3,512,<function dropout at 0x7fcb1e66ea60>,0.1,rect
91,0.5,0.8720929622650146,0.868918937444687,3,3,512,<function dropout at 0x7fcb1e66ea60>,0.01,rect
92,0.5,0.44186046719551086,0.54054057598114,3,3,1024,<function dropout at 0x7fcb1e66ea60>,10.0,rect
93,0.5,0.44186046719551086,0.5594594955444335,3,3,1024,<function dropout at 0x7fcb1e66ea60>,1.0,rect
94,0.5,0.8197674751281738,0.8229729950428009,3,3,1024,<function dropout at 0x7fcb1e66ea60>,0.1,rect
95,0.5,0.8662790060043335,0.8527027308940887,3,3,1024,<function dropout at 0x7fcb1e66ea60>,0.01,rect
96,0.5,0.4418604373931885,0.54054057598114,3,4,256,<function dropout at 0x7fcb1e66ea60>,10.0,rect
97,0.5,0.4418604373931885,0.54054057598114,3,4,256,<function dropout at 0x7fcb1e66ea60>,1.0,rect
98,0.5,0.8604650497436523,0.8540540814399719,3,4,256,<function dropout at 0x7fcb1e66ea60>,0.1,rect
99,0.5,0.8779069185256958,0.8932432472705842,3,4,256,<function dropout at 0x7fcb1e66ea60>,0.01,rect
100,0.5,0.44186046719551086,0.54054057598114,3,4,512,<function dropout at 0x7fcb1e66ea60>,10.0,rect
101,0.5,0.4418604373931885,0.54054057598114,3,4,512,<function dropout at 0x7fcb1e66ea60>,1.0,rect
102,0.5,0.8488371968269348,0.8513513803482056,3,4,512,<function dropout at 0x7fcb1e66ea60>,0.1,rect
103,0.5,0.8488371968269348,0.8432432770729064,3,4,512,<function dropout at 0x7fcb1e66ea60>,0.01,rect
104,0.5,0.44186046719551086,0.54054057598114,3,4,1024,<function dropout at 0x7fcb1e66ea60>,10.0,rect
105,0.5,0.44186046719551086,0.54054057598114,3,4,1024,<function dropout at 0x7fcb1e66ea60>,1.0,rect
106,0.5,0.8604651689529419,0.8351351737976075,3,4,1024,<function dropout at 0x7fcb1e66ea60>,0.1,rect
107,0.5,0.8662790060043335,0.868918937444687,3,4,1024,<function dropout at 0x7fcb1e66ea60>,0.01,rect
108,0.5,0.4418604373931885,0.54054057598114,3,8,256,<function dropout at 0x7fcb1e66ea60>,10.0,rect
109,0.5,0.44186049699783325,0.54054057598114,3,8,256,<function dropout at 0x7fcb1e66ea60>,1.0,rect
110,0.5,0.8604650497436523,0.8851351439952851,3,8,256,<function dropout at 0x7fcb1e66ea60>,0.1,rect
111,0.5,0.8372092843055725,0.800000035762787,3,8,256,<function dropout at 0x7fcb1e66ea60>,0.01,rect
112,0.5,0.44186046719551086,0.54054057598114,3,8,512,<function dropout at 0x7fcb1e66ea60>,10.0,rect
113,0.5,0.44186049699783325,0.54054057598114,3,8,512,<function dropout at 0x7fcb1e66ea60>,1.0,rect
114,0.5,0.4418604373931885,0.54054057598114,3,8,512,<function dropout at 0x7fcb1e66ea60>,0.1,rect
115,0.5,0.8488372564315796,0.847297328710556,3,8,512,<function dropout at 0x7fcb1e66ea60>,0.01,rect
116,0.5,0.44186046719551086,0.54054057598114,3,8,1024,<function dropout at 0x7fcb1e66ea60>,10.0,rect
117,0.5,0.44186049699783325,0.54054057598114,3,8,1024,<function dropout at 0x7fcb1e66ea60>,1.0,rect
118,0.5,0.44186046719551086,0.54054057598114,3,8,1024,<function dropout at 0x7fcb1e66ea60>,0.1,rect
119,0.5,0.8779069185256958,0.8459459781646728,3,8,1024,<function dropout at 0x7fcb1e66ea60>,0.01,rect
120,0.5,0.44186046719551086,0.54054057598114,3,16,256,<function dropout at 0x7fcb1e66ea60>,10.0,rect
121,0.5,0.44186049699783325,0.54054057598114,3,16,256,<function dropout at 0x7fcb1e66ea60>,1.0,rect
122,0.5,0.4418604373931885,0.54054057598114,3,16,256,<function dropout at 0x7fcb1e66ea60>,0.1,rect
123,0.5,0.5406976938247681,0.609459513425827,3,16,256,<function dropout at 0x7fcb1e66ea60>,0.01,rect
124,0.5,0.4418604373931885,0.54054057598114,3,16,512,<function dropout at 0x7fcb1e66ea60>,10.0,rect
125,0.5,0.4418604373931885,0.54054057598114,3,16,512,<function dropout at 0x7fcb1e66ea60>,1.0,rect
126,0.5,0.44186049699783325,0.54054057598114,3,16,512,<function dropout at 0x7fcb1e66ea60>,0.1,rect
127,0.5,0.6337209343910217,0.48513517379760746,3,16,512,<function dropout at 0x7fcb1e66ea60>,0.01,rect
128,0.5,0.44186049699783325,0.54054057598114,3,16,1024,<function dropout at 0x7fcb1e66ea60>,10.0,rect
129,0.5,0.44186046719551086,0.54054057598114,3,16,1024,<function dropout at 0x7fcb1e66ea60>,1.0,rect
130,0.5,0.44186046719551086,0.54054057598114,3,16,1024,<function dropout at 0x7fcb1e66ea60>,0.1,rect
131,0.5,0.5523256063461304,0.4175675928592682,3,16,1024,<function dropout at 0x7fcb1e66ea60>,0.01,rect
132,0.5,0.44186046719551086,0.54054057598114,3,32,256,<function dropout at 0x7fcb1e66ea60>,10.0,rect
133,0.5,0.44186046719551086,0.54054057598114,3,32,256,<function dropout at 0x7fcb1e66ea60>,1.0,rect
134,0.5,0.44186046719551086,0.54054057598114,3,32,256,<function dropout at 0x7fcb1e66ea60>,0.1,rect
135,0.5,0.44186049699783325,0.54054057598114,3,32,256,<function dropout at 0x7fcb1e66ea60>,0.01,rect
136,0.5,0.44186046719551086,0.54054057598114,3,32,512,<function dropout at 0x7fcb1e66ea60>,10.0,rect
137,0.5,0.4418604373931885,0.54054057598114,3,32,512,<function dropout at 0x7fcb1e66ea60>,1.0,rect
138,0.5,0.44186046719551086,0.54054057598114,3,32,512,<function dropout at 0x7fcb1e66ea60>,0.1,rect
139,0.5,0.44186046719551086,0.54054057598114,3,32,512,<function dropout at 0x7fcb1e66ea60>,0.01,rect
140,0.5,0.4418604373931885,0.54054057598114,3,32,1024,<function dropout at 0x7fcb1e66ea60>,10.0,rect
141,0.5,0.44186046719551086,0.54054057598114,3,32,1024,<function dropout at 0x7fcb1e66ea60>,1.0,rect
142,0.5,0.44186049699783325,0.54054057598114,3,32,1024,<function dropout at 0x7fcb1e66ea60>,0.1,rect
143,0.5,0.44186046719551086,0.54054057598114,3,32,1024,<function dropout at 0x7fcb1e66ea60>,0.01,rect
