,dropoutFn,dR,activationFn,nlayers,layerForm,learningrate,nstart,testAccuracy,valAccuracy
0,<function dropout at 0x7f3f4e8e3a60>,0.0,3,2,cone,10.0,256,0.1538461595773697,0.33846155107021325
1,<function dropout at 0x7f3f4e8e3a60>,0.0,3,2,cone,10.0,512,0.769230842590332,0.5461538732051848
2,<function dropout at 0x7f3f4e8e3a60>,0.0,3,2,cone,10.0,1024,0.1538461595773697,0.3076923191547393
3,<function dropout at 0x7f3f4e8e3a60>,0.0,3,2,cone,1.0,256,0.1538461595773697,0.3076923191547393
4,<function dropout at 0x7f3f4e8e3a60>,0.0,3,2,cone,1.0,512,0.1538461595773697,0.3692307829856872
5,<function dropout at 0x7f3f4e8e3a60>,0.0,3,2,cone,1.0,1024,0.1538461595773697,0.3692307829856872
6,<function dropout at 0x7f3f4e8e3a60>,0.0,3,2,cone,0.1,256,0.9230769276618958,0.8461539149284362
7,<function dropout at 0x7f3f4e8e3a60>,0.0,3,2,cone,0.1,512,0.9230769276618958,0.8538462221622466
8,<function dropout at 0x7f3f4e8e3a60>,0.0,3,2,cone,0.1,1024,0.9615384936332703,0.8461539149284362
9,<function dropout at 0x7f3f4e8e3a60>,0.0,3,2,cone,0.01,256,0.8461539149284363,0.8461539149284362
10,<function dropout at 0x7f3f4e8e3a60>,0.0,3,2,cone,0.01,512,0.884615421295166,0.8461539149284362
11,<function dropout at 0x7f3f4e8e3a60>,0.0,3,2,cone,0.01,1024,0.884615421295166,0.8461539149284362
12,<function dropout at 0x7f3f4e8e3a60>,0.0,3,3,cone,10.0,256,0.1538461595773697,0.3076923191547393
13,<function dropout at 0x7f3f4e8e3a60>,0.0,3,3,cone,10.0,512,0.1538461595773697,0.3076923191547393
14,<function dropout at 0x7f3f4e8e3a60>,0.0,3,3,cone,10.0,1024,0.1538461595773697,0.3076923191547393
15,<function dropout at 0x7f3f4e8e3a60>,0.0,3,3,cone,1.0,256,0.7307692766189575,0.5307692505419254
16,<function dropout at 0x7f3f4e8e3a60>,0.0,3,3,cone,1.0,512,0.1538461595773697,0.33846155107021325
17,<function dropout at 0x7f3f4e8e3a60>,0.0,3,3,cone,1.0,1024,0.1538461595773697,0.33846155107021325
18,<function dropout at 0x7f3f4e8e3a60>,0.0,3,3,cone,0.1,256,0.884615421295166,0.8461539149284362
19,<function dropout at 0x7f3f4e8e3a60>,0.0,3,3,cone,0.1,512,0.9230769276618958,0.8461539149284362
20,<function dropout at 0x7f3f4e8e3a60>,0.0,3,3,cone,0.1,1024,0.9230769872665405,0.8461539149284362
21,<function dropout at 0x7f3f4e8e3a60>,0.0,3,3,cone,0.01,256,0.884615421295166,0.8461539149284362
22,<function dropout at 0x7f3f4e8e3a60>,0.0,3,3,cone,0.01,512,0.9230769276618958,0.8461539149284362
23,<function dropout at 0x7f3f4e8e3a60>,0.0,3,3,cone,0.01,1024,0.9230769276618958,0.8461539149284362
24,<function dropout at 0x7f3f4e8e3a60>,0.0,3,4,cone,10.0,256,0.1538461595773697,0.3076923191547393
25,<function dropout at 0x7f3f4e8e3a60>,0.0,3,4,cone,10.0,512,0.1538461595773697,0.3076923191547393
26,<function dropout at 0x7f3f4e8e3a60>,0.0,3,4,cone,10.0,1024,0.1538461595773697,0.3076923191547393
27,<function dropout at 0x7f3f4e8e3a60>,0.0,3,4,cone,1.0,256,0.1538461595773697,0.33846155107021325
28,<function dropout at 0x7f3f4e8e3a60>,0.0,3,4,cone,1.0,512,0.1538461595773697,0.3076923191547393
29,<function dropout at 0x7f3f4e8e3a60>,0.0,3,4,cone,1.0,1024,0.1538461595773697,0.3076923191547393
30,<function dropout at 0x7f3f4e8e3a60>,0.0,3,4,cone,0.1,256,0.884615421295166,0.8461539149284362
31,<function dropout at 0x7f3f4e8e3a60>,0.0,3,4,cone,0.1,512,0.9230769276618958,0.8461539149284362
32,<function dropout at 0x7f3f4e8e3a60>,0.0,3,4,cone,0.1,1024,0.9230769276618958,0.861538529396057
33,<function dropout at 0x7f3f4e8e3a60>,0.0,3,4,cone,0.01,256,0.8461539149284363,0.8538462221622466
34,<function dropout at 0x7f3f4e8e3a60>,0.0,3,4,cone,0.01,512,0.9230769276618958,0.8461539149284362
35,<function dropout at 0x7f3f4e8e3a60>,0.0,3,4,cone,0.01,1024,0.9230769276618958,0.8461539149284362
36,<function dropout at 0x7f3f4e8e3a60>,0.0,3,8,cone,10.0,256,0.1538461595773697,0.3076923191547393
37,<function dropout at 0x7f3f4e8e3a60>,0.0,3,8,cone,10.0,512,0.1538461595773697,0.3076923191547393
38,<function dropout at 0x7f3f4e8e3a60>,0.0,3,8,cone,10.0,1024,0.1538461595773697,0.3076923191547393
39,<function dropout at 0x7f3f4e8e3a60>,0.0,3,8,cone,1.0,256,0.1538461595773697,0.3076923191547393
40,<function dropout at 0x7f3f4e8e3a60>,0.0,3,8,cone,1.0,512,0.769230842590332,0.6153846383094786
41,<function dropout at 0x7f3f4e8e3a60>,0.0,3,8,cone,1.0,1024,0.1538461595773697,0.3076923191547393
42,<function dropout at 0x7f3f4e8e3a60>,0.0,3,8,cone,0.1,256,0.9615384936332703,0.8461539149284362
43,<function dropout at 0x7f3f4e8e3a60>,0.0,3,8,cone,0.1,512,0.9230769276618958,0.8461539149284362
44,<function dropout at 0x7f3f4e8e3a60>,0.0,3,8,cone,0.1,1024,0.9615384936332703,0.8384616076946257
45,<function dropout at 0x7f3f4e8e3a60>,0.0,3,8,cone,0.01,256,0.9230769276618958,0.8461539149284362
46,<function dropout at 0x7f3f4e8e3a60>,0.0,3,8,cone,0.01,512,0.9230769276618958,0.8461539149284362
47,<function dropout at 0x7f3f4e8e3a60>,0.0,3,8,cone,0.01,1024,0.9230769276618958,0.8461539149284362
48,<function dropout at 0x7f3f4e8e3a60>,0.0,3,16,cone,10.0,256,0.1538461595773697,0.3076923191547393
49,<function dropout at 0x7f3f4e8e3a60>,0.0,3,16,cone,10.0,512,0.1538461595773697,0.3076923191547393
50,<function dropout at 0x7f3f4e8e3a60>,0.0,3,16,cone,10.0,1024,0.1538461595773697,0.3076923191547393
51,<function dropout at 0x7f3f4e8e3a60>,0.0,3,16,cone,1.0,256,0.769230842590332,0.6153846383094786
52,<function dropout at 0x7f3f4e8e3a60>,0.0,3,16,cone,1.0,512,0.1538461595773697,0.3076923191547393
53,<function dropout at 0x7f3f4e8e3a60>,0.0,3,16,cone,1.0,1024,0.769230842590332,0.6153846383094786
54,<function dropout at 0x7f3f4e8e3a60>,0.0,3,16,cone,0.1,256,0.9615384936332703,0.8230769932270049
55,<function dropout at 0x7f3f4e8e3a60>,0.0,3,16,cone,0.1,512,0.9230769276618958,0.8461539149284362
56,<function dropout at 0x7f3f4e8e3a60>,0.0,3,16,cone,0.1,1024,0.9230769276618958,0.8461539149284362
57,<function dropout at 0x7f3f4e8e3a60>,0.0,3,16,cone,0.01,256,0.884615421295166,0.7538462042808532
58,<function dropout at 0x7f3f4e8e3a60>,0.0,3,16,cone,0.01,512,0.9230769872665405,0.8461539149284362
59,<function dropout at 0x7f3f4e8e3a60>,0.0,3,16,cone,0.01,1024,0.884615421295166,0.8461539149284362
60,<function dropout at 0x7f3f4e8e3a60>,0.0,3,32,cone,10.0,256,0.1538461595773697,0.3076923191547393
61,<function dropout at 0x7f3f4e8e3a60>,0.0,3,32,cone,10.0,512,0.1538461595773697,0.3076923191547393
62,<function dropout at 0x7f3f4e8e3a60>,0.0,3,32,cone,10.0,1024,0.07692307978868484,0.5000000186264515
63,<function dropout at 0x7f3f4e8e3a60>,0.0,3,32,cone,1.0,256,0.1538461595773697,0.40000001490116116
64,<function dropout at 0x7f3f4e8e3a60>,0.0,3,32,cone,1.0,512,0.769230842590332,0.6153846383094786
65,<function dropout at 0x7f3f4e8e3a60>,0.0,3,32,cone,1.0,1024,0.769230842590332,0.6153846383094786
66,<function dropout at 0x7f3f4e8e3a60>,0.0,3,32,cone,0.1,256,0.884615421295166,0.730769282579422
67,<function dropout at 0x7f3f4e8e3a60>,0.0,3,32,cone,0.1,512,0.769230842590332,0.630769258737564
68,<function dropout at 0x7f3f4e8e3a60>,0.0,3,32,cone,0.1,1024,0.9230769276618958,0.7461539030075073
69,<function dropout at 0x7f3f4e8e3a60>,0.0,3,32,cone,0.01,256,0.8461539149284363,0.8461539149284362
70,<function dropout at 0x7f3f4e8e3a60>,0.0,3,32,cone,0.01,512,0.884615421295166,0.7692308425903319
71,<function dropout at 0x7f3f4e8e3a60>,0.0,3,32,cone,0.01,1024,0.9230769276618958,0.8384616076946257
72,<function dropout at 0x7f3f4e8e3a60>,0.5,3,2,cone,10.0,256,0.1538461595773697,0.33846155107021325
73,<function dropout at 0x7f3f4e8e3a60>,0.5,3,2,cone,10.0,512,0.1538461595773697,0.3076923191547393
74,<function dropout at 0x7f3f4e8e3a60>,0.5,3,2,cone,10.0,1024,0.1538461595773697,0.3076923191547393
75,<function dropout at 0x7f3f4e8e3a60>,0.5,3,2,cone,1.0,256,0.1538461595773697,0.33846155107021325
76,<function dropout at 0x7f3f4e8e3a60>,0.5,3,2,cone,1.0,512,0.1538461595773697,0.33846155107021325
77,<function dropout at 0x7f3f4e8e3a60>,0.5,3,2,cone,1.0,1024,0.1538461595773697,0.3076923191547393
78,<function dropout at 0x7f3f4e8e3a60>,0.5,3,2,cone,0.1,256,0.9230769276618958,0.861538529396057
79,<function dropout at 0x7f3f4e8e3a60>,0.5,3,2,cone,0.1,512,0.884615421295166,0.8461539149284362
80,<function dropout at 0x7f3f4e8e3a60>,0.5,3,2,cone,0.1,1024,0.9230769276618958,0.8538462221622466
81,<function dropout at 0x7f3f4e8e3a60>,0.5,3,2,cone,0.01,256,0.8461539149284363,0.8461539149284362
82,<function dropout at 0x7f3f4e8e3a60>,0.5,3,2,cone,0.01,512,0.884615421295166,0.8461539149284362
83,<function dropout at 0x7f3f4e8e3a60>,0.5,3,2,cone,0.01,1024,0.9230769276618958,0.8461539149284362
84,<function dropout at 0x7f3f4e8e3a60>,0.5,3,3,cone,10.0,256,0.1538461595773697,0.3076923191547393
85,<function dropout at 0x7f3f4e8e3a60>,0.5,3,3,cone,10.0,512,0.1538461595773697,0.3076923191547393
86,<function dropout at 0x7f3f4e8e3a60>,0.5,3,3,cone,10.0,1024,0.1538461595773697,0.3076923191547393
87,<function dropout at 0x7f3f4e8e3a60>,0.5,3,3,cone,1.0,256,0.1538461595773697,0.33846155107021325
88,<function dropout at 0x7f3f4e8e3a60>,0.5,3,3,cone,1.0,512,0.1538461595773697,0.33846155107021325
89,<function dropout at 0x7f3f4e8e3a60>,0.5,3,3,cone,1.0,1024,0.1538461595773697,0.33846155107021325
90,<function dropout at 0x7f3f4e8e3a60>,0.5,3,3,cone,0.1,256,0.9230769276618958,0.8461539149284362
91,<function dropout at 0x7f3f4e8e3a60>,0.5,3,3,cone,0.1,512,0.9230769276618958,0.8384616076946257
92,<function dropout at 0x7f3f4e8e3a60>,0.5,3,3,cone,0.1,1024,0.8461539149284363,0.8230769932270049
93,<function dropout at 0x7f3f4e8e3a60>,0.5,3,3,cone,0.01,256,0.8076924085617065,0.8461539149284362
94,<function dropout at 0x7f3f4e8e3a60>,0.5,3,3,cone,0.01,512,0.9230769276618958,0.8461539149284362
95,<function dropout at 0x7f3f4e8e3a60>,0.5,3,3,cone,0.01,1024,0.8461539149284363,0.861538529396057
96,<function dropout at 0x7f3f4e8e3a60>,0.5,3,4,cone,10.0,256,0.1538461595773697,0.3076923191547393
97,<function dropout at 0x7f3f4e8e3a60>,0.5,3,4,cone,10.0,512,0.1538461595773697,0.3076923191547393
98,<function dropout at 0x7f3f4e8e3a60>,0.5,3,4,cone,10.0,1024,0.1538461595773697,0.3076923191547393
99,<function dropout at 0x7f3f4e8e3a60>,0.5,3,4,cone,1.0,256,0.1538461595773697,0.3076923191547393
100,<function dropout at 0x7f3f4e8e3a60>,0.5,3,4,cone,1.0,512,0.1538461595773697,0.3076923191547393
101,<function dropout at 0x7f3f4e8e3a60>,0.5,3,4,cone,1.0,1024,0.1538461595773697,0.3076923191547393
102,<function dropout at 0x7f3f4e8e3a60>,0.5,3,4,cone,0.1,256,0.884615421295166,0.8307693004608153
103,<function dropout at 0x7f3f4e8e3a60>,0.5,3,4,cone,0.1,512,0.9230769276618958,0.6846154153347015
104,<function dropout at 0x7f3f4e8e3a60>,0.5,3,4,cone,0.1,1024,0.769230842590332,0.6153846472501754
105,<function dropout at 0x7f3f4e8e3a60>,0.5,3,4,cone,0.01,256,0.884615421295166,0.7692308425903319
106,<function dropout at 0x7f3f4e8e3a60>,0.5,3,4,cone,0.01,512,0.884615421295166,0.8461539149284362
107,<function dropout at 0x7f3f4e8e3a60>,0.5,3,4,cone,0.01,1024,0.884615421295166,0.8461539149284362
108,<function dropout at 0x7f3f4e8e3a60>,0.5,3,8,cone,10.0,256,0.1538461595773697,0.3076923191547393
109,<function dropout at 0x7f3f4e8e3a60>,0.5,3,8,cone,10.0,512,0.1538461595773697,0.3076923191547393
110,<function dropout at 0x7f3f4e8e3a60>,0.5,3,8,cone,10.0,1024,0.1538461595773697,0.3076923191547393
111,<function dropout at 0x7f3f4e8e3a60>,0.5,3,8,cone,1.0,256,0.1538461595773697,0.3076923191547393
112,<function dropout at 0x7f3f4e8e3a60>,0.5,3,8,cone,1.0,512,0.1538461595773697,0.3076923191547393
113,<function dropout at 0x7f3f4e8e3a60>,0.5,3,8,cone,1.0,1024,0.1538461595773697,0.3076923191547393
114,<function dropout at 0x7f3f4e8e3a60>,0.5,3,8,cone,0.1,256,0.769230842590332,0.6153846383094786
115,<function dropout at 0x7f3f4e8e3a60>,0.5,3,8,cone,0.1,512,0.769230842590332,0.6153846383094786
116,<function dropout at 0x7f3f4e8e3a60>,0.5,3,8,cone,0.1,1024,0.1538461595773697,0.33846155107021325
117,<function dropout at 0x7f3f4e8e3a60>,0.5,3,8,cone,0.01,256,0.884615421295166,0.7846154510974883
118,<function dropout at 0x7f3f4e8e3a60>,0.5,3,8,cone,0.01,512,0.769230842590332,0.6230769455432891
119,<function dropout at 0x7f3f4e8e3a60>,0.5,3,8,cone,0.01,1024,0.769230842590332,0.6307692646980285
120,<function dropout at 0x7f3f4e8e3a60>,0.5,3,16,cone,10.0,256,0.1538461595773697,0.3076923191547393
121,<function dropout at 0x7f3f4e8e3a60>,0.5,3,16,cone,10.0,512,0.1538461595773697,0.3076923191547393
122,<function dropout at 0x7f3f4e8e3a60>,0.5,3,16,cone,10.0,1024,0.1538461595773697,0.3076923191547393
123,<function dropout at 0x7f3f4e8e3a60>,0.5,3,16,cone,1.0,256,0.1538461595773697,0.3076923191547393
124,<function dropout at 0x7f3f4e8e3a60>,0.5,3,16,cone,1.0,512,0.1538461595773697,0.3076923191547393
125,<function dropout at 0x7f3f4e8e3a60>,0.5,3,16,cone,1.0,1024,0.1538461595773697,0.3076923191547393
126,<function dropout at 0x7f3f4e8e3a60>,0.5,3,16,cone,0.1,256,0.1538461595773697,0.33846155107021325
127,<function dropout at 0x7f3f4e8e3a60>,0.5,3,16,cone,0.1,512,0.1538461595773697,0.3076923191547393
128,<function dropout at 0x7f3f4e8e3a60>,0.5,3,16,cone,0.1,1024,0.1538461595773697,0.3076923191547393
129,<function dropout at 0x7f3f4e8e3a60>,0.5,3,16,cone,0.01,256,0.769230842590332,0.6153846383094786
130,<function dropout at 0x7f3f4e8e3a60>,0.5,3,16,cone,0.01,512,0.769230842590332,0.6153846383094786
131,<function dropout at 0x7f3f4e8e3a60>,0.5,3,16,cone,0.01,1024,0.769230842590332,0.5923077166080474
132,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,10.0,256,0.1538461595773697,0.3076923191547393
133,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,10.0,512,0.1538461595773697,0.3076923191547393
134,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,10.0,1024,0.1538461595773697,0.33846155107021325
135,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,1.0,256,0.1538461595773697,0.3076923191547393
136,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,1.0,512,0.1538461595773697,0.3076923191547393
137,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,1.0,1024,0.1538461595773697,0.3076923191547393
138,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,0.1,256,0.769230842590332,0.6153846383094786
139,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,0.1,512,0.1538461595773697,0.3076923191547393
140,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,0.1,1024,0.1538461595773697,0.3076923191547393
141,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,0.01,256,0.6538461446762085,0.41538463830947875
142,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,0.01,512,0.1538461595773697,0.21538462340831754
143,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,0.01,1024,0.1538461595773697,0.3692307829856872
