"dataset","bottleneck","nhidden","valAccuracy","learningrate","testAccuracy","nblocks","blockForm"
"planning",0.25,256,0.71904764175415,0.01,0.711111128330231,3,"rect"
"planning",0.5,512,0.714285737276077,0.01,0.51111114025116,2,"diavolo"
"planning",0.5,1024,0.690476208925247,0.01,0.644444465637207,3,"diavolo"
"planning",0.5,512,0.685714340209961,0.01,0.644444465637207,2,"rect"
"planning",0.25,1024,0.661904782056808,0.01,0.555555582046509,2,"diavolo"
"planning",0.25,256,0.657142925262451,0.01,0.644444465637207,3,"diavolo"
"planning",0.25,512,0.652381014823913,0.01,0.644444465637207,2,"diavolo"
"planning",0.25,1024,0.638095265626907,0.01,0.711111128330231,8,"diavolo"
"planning",0.25,1024,0.63333335518837,0.01,0.688888907432556,3,"rect"
"planning",0.25,256,0.623809546232223,0.01,0.666666686534882,2,"diavolo"
"planning",0.25,512,0.619047665596008,0.01,0.688888907432556,8,"rect"
"planning",0.5,512,0.61904764175415,0.01,0.644444465637207,4,"diavolo"
"planning",0.25,512,0.61904764175415,0.01,0.644444465637207,3,"rect"
"planning",0.25,1024,0.614285737276077,0.01,0.688888907432556,16,"diavolo"
"planning",0.25,256,0.614285737276077,0.1,0.688888907432556,4,"diavolo"
"planning",0.5,256,0.614285737276077,0.01,0.622222304344177,2,"diavolo"
"planning",0.5,512,0.614285737276077,0.1,0.688888907432556,2,"rect"
"planning",0.5,1024,0.609523832798004,0.01,0.688888907432556,8,"rect"
"planning",0.5,1024,0.609523832798004,0.01,0.688888907432556,8,"diavolo"
"planning",0.25,256,0.609523832798004,0.01,0.711111128330231,8,"rect"
"planning",0.5,1024,0.609523832798004,0.01,0.622222244739532,4,"diavolo"
"planning",0.25,256,0.609523832798004,0.01,0.688888907432556,4,"rect"
"planning",0.5,256,0.609523832798004,0.01,0.533333361148834,4,"rect"
"planning",0.25,256,0.609523832798004,0.1,0.688888907432556,3,"diavolo"
"planning",0.5,256,0.609523832798004,0.1,0.666666686534882,3,"rect"
"planning",0.25,256,0.609523832798004,0.1,0.688888907432556,2,"diavolo"
"planning",0.25,256,0.604761934280395,0.1,0.666666686534882,3,"rect"
"planning",0.25,1024,0.604761928319931,0.01,0.688888907432556,4,"rect"
"planning",0.25,512,0.604761928319931,0.1,0.688888907432556,3,"rect"
"planning",0.25,512,0.604761928319931,0.1,0.711111128330231,2,"diavolo"
"planning",0.5,512,0.604761928319931,0.1,0.688888907432556,2,"diavolo"
"planning",0.5,256,0.604761928319931,0.1,0.577777802944183,2,"rect"
"planning",0.25,1024,0.600000023841858,0.01,0.688888907432556,8,"rect"
"planning",0.25,512,0.600000023841858,0.1,0.711111128330231,3,"diavolo"
"planning",0.5,512,0.600000023841858,0.1,0.711111128330231,3,"rect"
"planning",0.5,512,0.600000023841858,0.1,0.711111128330231,3,"diavolo"
"planning",0.5,256,0.600000023841858,0.1,0.711111128330231,3,"diavolo"
"planning",0.5,256,0.600000023841858,0.01,0.555555582046509,2,"rect"
"planning",0.5,1024,0.600000023841858,0.1,0.688888907432556,2,"diavolo"
"planning",0.5,256,0.600000023841858,0.1,0.622222244739532,2,"diavolo"
"planning",0.25,256,0.595238119363785,0.01,0.711111128330231,16,"diavolo"
"planning",0.25,512,0.595238119363785,0.01,0.711111128330231,8,"diavolo"
"planning",0.5,512,0.595238119363785,0.01,0.622222244739532,8,"diavolo"
"planning",0.5,1024,0.595238119363785,0.01,0.711111128330231,4,"rect"
"planning",0.25,512,0.595238119363785,0.01,0.577777802944183,4,"rect"
"planning",0.5,256,0.595238119363785,0.1,0.711111128330231,4,"rect"
"planning",0.25,1024,0.595238119363785,0.1,0.688888907432556,2,"diavolo"
"planning",0.25,256,0.590476220846176,0.01,0.711111128330231,2,"rect"
"planning",0.25,1024,0.590476214885712,0.01,0.666666686534882,4,"diavolo"
"planning",0.25,1024,0.590476214885712,0.1,0.711111128330231,2,"rect"
"planning",0.25,512,0.590476214885712,0.1,0.711111128330231,2,"rect"
"planning",0.5,1024,0.585714316368103,0.1,0.711111128330231,4,"diavolo"
"planning",0.25,256,0.585714316368103,0.01,0.688888907432556,8,"diavolo"
"planning",0.5,1024,0.585714310407638,0.01,0.711111128330231,16,"rect"
"planning",0.5,512,0.585714310407638,0.1,0.600000023841858,4,"diavolo"
"planning",0.5,1024,0.585714310407638,0.1,0.711111128330231,3,"diavolo"
"planning",0.25,256,0.585714310407638,0.1,0.688888907432556,2,"rect"
"planning",0.25,512,0.580952405929565,0.01,0.688888907432556,4,"diavolo"
"planning",0.5,512,0.580952405929565,0.01,0.711111128330231,4,"rect"
"planning",0.25,256,0.580952405929565,0.1,0.711111128330231,4,"rect"
"planning",0.25,1024,0.580952405929565,0.01,0.711111128330231,3,"diavolo"
"planning",0.25,1024,0.576190501451492,0.01,0.711111128330231,16,"rect"
"planning",0.5,256,0.576190501451492,0.01,0.644444465637207,8,"diavolo"
"planning",0.25,512,0.576190501451492,0.1,0.711111128330231,8,"diavolo"
"planning",0.25,256,0.576190501451492,0.1,0.711111128330231,8,"rect"
"planning",0.25,512,0.576190501451492,0.1,0.688888907432556,4,"diavolo"
"planning",0.5,256,0.576190501451492,0.1,0.711111128330231,4,"diavolo"
"planning",0.5,256,0.576190501451492,0.01,0.600000023841858,3,"rect"
"planning",0.25,1024,0.576190501451492,0.1,0.577777802944183,3,"diavolo"
"planning",0.25,512,0.571428596973419,0.01,0.711111128330231,16,"rect"
"planning",0.25,512,0.571428596973419,0.01,0.711111128330231,16,"diavolo"
"planning",0.5,512,0.571428596973419,0.01,0.711111128330231,16,"rect"
"planning",0.25,256,0.571428596973419,0.01,0.711111128330231,16,"rect"
"planning",0.25,1024,0.571428596973419,0.1,0.711111128330231,16,"rect"
"planning",0.25,1024,0.571428596973419,0.1,0.622222244739532,16,"diavolo"
"planning",0.5,1024,0.571428596973419,0.1,0.711111128330231,16,"rect"
"planning",0.5,1024,0.571428596973419,0.1,0.711111128330231,16,"diavolo"
"planning",0.25,512,0.571428596973419,0.1,0.711111128330231,16,"rect"
"planning",0.25,512,0.571428596973419,0.1,0.711111128330231,16,"diavolo"
"planning",0.5,512,0.571428596973419,0.1,0.711111128330231,16,"rect"
"planning",0.25,256,0.571428596973419,0.1,0.711111128330231,16,"rect"
"planning",0.5,256,0.571428596973419,0.1,0.711111128330231,16,"rect"
"planning",0.25,1024,0.571428596973419,1,0.711111128330231,16,"rect"
"planning",0.25,1024,0.571428596973419,1,0.711111128330231,16,"diavolo"
"planning",0.5,1024,0.571428596973419,1,0.711111128330231,16,"rect"
"planning",0.5,1024,0.571428596973419,1,0.711111128330231,16,"diavolo"
"planning",0.25,512,0.571428596973419,1,0.711111128330231,16,"rect"
"planning",0.25,512,0.571428596973419,1,0.711111128330231,16,"diavolo"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,16,"rect"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,16,"diavolo"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,16,"rect"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,16,"diavolo"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,16,"rect"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,16,"diavolo"
"planning",0.5,256,0.571428596973419,0.01,0.711111128330231,8,"rect"
"planning",0.25,1024,0.571428596973419,0.1,0.711111128330231,8,"rect"
"planning",0.5,1024,0.571428596973419,0.1,0.711111128330231,8,"rect"
"planning",0.25,256,0.571428596973419,0.1,0.711111128330231,8,"diavolo"
"planning",0.5,256,0.571428596973419,0.1,0.711111128330231,8,"rect"
"planning",0.5,256,0.571428596973419,0.1,0.711111128330231,8,"diavolo"
"planning",0.25,1024,0.571428596973419,1,0.711111128330231,8,"rect"
"planning",0.25,1024,0.571428596973419,1,0.711111128330231,8,"diavolo"
"planning",0.5,1024,0.571428596973419,1,0.711111128330231,8,"rect"
"planning",0.5,1024,0.571428596973419,1,0.711111128330231,8,"diavolo"
"planning",0.25,512,0.571428596973419,1,0.711111128330231,8,"rect"
"planning",0.25,512,0.571428596973419,1,0.711111128330231,8,"diavolo"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,8,"rect"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,8,"diavolo"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,8,"rect"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,8,"diavolo"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,8,"rect"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,8,"diavolo"
"planning",0.25,256,0.571428596973419,0.01,0.711111128330231,4,"diavolo"
"planning",0.25,1024,0.571428596973419,0.1,0.711111128330231,4,"diavolo"
"planning",0.25,512,0.571428596973419,0.1,0.711111128330231,4,"rect"
"planning",0.5,512,0.571428596973419,0.1,0.711111128330231,4,"rect"
"planning",0.25,1024,0.571428596973419,1,0.711111128330231,4,"rect"
"planning",0.25,1024,0.571428596973419,1,0.711111128330231,4,"diavolo"
"planning",0.5,1024,0.571428596973419,1,0.711111128330231,4,"rect"
"planning",0.5,1024,0.571428596973419,1,0.711111128330231,4,"diavolo"
"planning",0.25,512,0.571428596973419,1,0.711111128330231,4,"rect"
"planning",0.25,512,0.571428596973419,1,0.711111128330231,4,"diavolo"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,4,"rect"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,4,"diavolo"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,4,"rect"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,4,"diavolo"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,4,"rect"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,4,"diavolo"
"planning",0.5,1024,0.571428596973419,0.01,0.711111128330231,3,"rect"
"planning",0.5,512,0.571428596973419,0.01,0.711111128330231,3,"rect"
"planning",0.5,256,0.571428596973419,0.01,0.688888907432556,3,"diavolo"
"planning",0.25,1024,0.571428596973419,1,0.711111128330231,3,"rect"
"planning",0.25,1024,0.571428596973419,1,0.711111128330231,3,"diavolo"
"planning",0.5,1024,0.571428596973419,1,0.711111128330231,3,"rect"
"planning",0.5,1024,0.571428596973419,1,0.711111128330231,3,"diavolo"
"planning",0.25,512,0.571428596973419,1,0.711111128330231,3,"rect"
"planning",0.25,512,0.571428596973419,1,0.711111128330231,3,"diavolo"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,3,"rect"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,3,"diavolo"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,3,"rect"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,3,"diavolo"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,3,"rect"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,3,"diavolo"
"planning",0.5,1024,0.571428596973419,0.01,0.711111128330231,2,"diavolo"
"planning",0.5,1024,0.571428596973419,0.1,0.711111128330231,2,"rect"
"planning",0.25,1024,0.571428596973419,1,0.711111128330231,2,"rect"
"planning",0.25,1024,0.571428596973419,1,0.711111128330231,2,"diavolo"
"planning",0.5,1024,0.571428596973419,1,0.711111128330231,2,"rect"
"planning",0.5,1024,0.571428596973419,1,0.711111128330231,2,"diavolo"
"planning",0.25,512,0.571428596973419,1,0.711111128330231,2,"rect"
"planning",0.25,512,0.571428596973419,1,0.711111128330231,2,"diavolo"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,2,"rect"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,2,"diavolo"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,2,"rect"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,2,"diavolo"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,2,"rect"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,2,"diavolo"
"planning",0.5,512,0.566666692495346,0.01,0.711111128330231,16,"diavolo"
"planning",0.5,256,0.566666692495346,0.01,0.644444465637207,16,"rect"
"planning",0.25,256,0.566666692495346,0.1,0.711111128330231,16,"diavolo"
"planning",0.5,512,0.566666692495346,0.01,0.688888907432556,8,"rect"
"planning",0.5,512,0.566666692495346,0.1,0.711111128330231,8,"diavolo"
"planning",0.5,1024,0.566666692495346,0.01,0.644444465637207,2,"rect"
"planning",0.5,256,0.561904788017273,0.01,0.711111128330231,4,"diavolo"
"planning",0.5,1024,0.5571428835392,0.01,0.711111128330231,16,"diavolo"
"planning",0.5,256,0.5571428835392,0.1,0.288888901472092,16,"diavolo"
"planning",0.5,1024,0.5571428835392,0.1,0.711111128330231,3,"rect"
"planning",0.5,256,0.552380979061127,0.01,0.622222244739532,16,"diavolo"
"planning",0.5,512,0.547619074583053,0.1,0.644444465637207,16,"diavolo"
"planning",0.5,512,0.54285717010498,0.1,0.711111128330231,8,"rect"
"planning",0.25,1024,0.54285717010498,0.01,0.622222244739532,2,"rect"
"planning",0.25,512,0.533333361148834,0.01,0.622222244739532,2,"rect"
"planning",0.25,1024,0.528571456670761,0.1,0.711111128330231,8,"diavolo"
"planning",0.5,1024,0.528571456670761,0.1,0.711111128330231,8,"diavolo"
"planning",0.25,1024,0.523809552192688,0.1,0.288888901472092,4,"rect"
"planning",0.5,512,0.523809552192688,0.01,0.600000023841858,3,"diavolo"
"planning",0.25,512,0.514285743236542,0.1,0.711111128330231,8,"rect"
"planning",0.25,1024,0.514285743236542,0.1,0.711111128330231,3,"rect"
"planning",0.5,1024,0.500000029802322,0.1,0.711111128330231,4,"rect"
"planning",0.25,512,0.495238125324249,0.01,0.466666698455811,3,"diavolo"
