"dataset","nhidden","nblocks","valAccuracy","learningrate","blockForm","bottleneck","testAccuracy"
"soybean",512,4,0.915254235267639,0.1,"rect",0.5,0.867021203041077
"soybean",512,2,0.915254235267639,0.1,"diavolo",0.25,0.872340440750122
"soybean",1024,4,0.905084764957428,0.1,"rect",0.25,0.882978677749634
"soybean",256,8,0.899999982118607,0.1,"diavolo",0.5,0.872340440750122
"soybean",256,8,0.898305058479309,0.1,"diavolo",0.25,0.853723406791687
"soybean",1024,3,0.881356000900269,0.1,"diavolo",0.25,0.869680762290955
"soybean",1024,2,0.881356000900269,0.1,"rect",0.25,0.89361697435379
"soybean",512,3,0.881355941295624,0.1,"rect",0.5,0.864361643791199
"soybean",512,2,0.881355941295624,0.1,"rect",0.5,0.845744609832764
"soybean",512,8,0.881355881690979,0.1,"rect",0.25,0.821808576583862
"soybean",1024,3,0.881355881690979,0.1,"rect",0.25,0.869680881500244
"soybean",512,3,0.881355881690979,0.1,"rect",0.25,0.843085050582886
"soybean",1024,3,0.877966117858887,0.1,"diavolo",0.5,0.882978677749634
"soybean",1024,4,0.877966117858887,0.1,"rect",0.5,0.885638236999512
"soybean",512,4,0.866101735830307,0.1,"diavolo",0.5,0.861702084541321
"soybean",256,8,0.864406824111938,0.1,"rect",0.5,0.843085169792175
"soybean",256,4,0.864406824111938,0.1,"diavolo",0.5,0.845744609832764
"soybean",256,2,0.864406824111938,0.01,"diavolo",0.25,0.808510601520538
"soybean",1024,2,0.864406824111938,0.1,"rect",0.5,0.848404228687286
"soybean",1024,2,0.864406824111938,0.1,"diavolo",0.5,0.853723406791687
"soybean",512,2,0.864406824111938,0.1,"rect",0.25,0.829787135124207
"soybean",1024,4,0.864406764507294,0.1,"diavolo",0.25,0.890957355499268
"soybean",512,4,0.864406764507294,0.1,"rect",0.25,0.859042525291443
"soybean",1024,3,0.864406764507294,0.1,"rect",0.5,0.845744729042053
"soybean",256,3,0.857627153396606,0.1,"diavolo",0.5,0.872340381145477
"soybean",256,2,0.857627111673355,0.1,"rect",0.25,0.893616914749146
"soybean",1024,8,0.852542400360107,0.1,"diavolo",0.25,0.859042525291443
"soybean",1024,4,0.847457647323608,0.1,"diavolo",0.5,0.869680881500244
"soybean",256,4,0.847457647323608,0.1,"rect",0.25,0.861702084541321
"soybean",256,4,0.847457647323608,0.1,"rect",0.5,0.85638290643692
"soybean",512,3,0.847457647323608,0.1,"diavolo",0.25,0.843085050582886
"soybean",256,3,0.847457647323608,0.1,"rect",0.5,0.813829779624939
"soybean",256,3,0.847457647323608,0.1,"diavolo",0.25,0.864361643791199
"soybean",1024,2,0.847457647323608,0.1,"diavolo",0.25,0.861702084541321
"soybean",256,2,0.847457647323608,0.1,"rect",0.5,0.864361703395844
"soybean",256,2,0.847457647323608,0.1,"diavolo",0.25,0.83776593208313
"soybean",256,3,0.842372894287109,0.1,"rect",0.25,0.835106372833252
"soybean",512,8,0.83728814125061,0.1,"diavolo",0.25,0.835106372833252
"soybean",1024,16,0.835593223571777,0.01,"rect",0.25,0.83776593208313
"soybean",512,4,0.830508470535278,0.1,"diavolo",0.25,0.845744669437408
"soybean",512,3,0.830508470535278,0.1,"diavolo",0.5,0.82446813583374
"soybean",256,2,0.830508470535278,0.1,"diavolo",0.5,0.867021262645721
"soybean",1024,2,0.828813552856445,0.01,"rect",0.5,0.781914830207825
"soybean",512,8,0.816949141025543,0.1,"rect",0.5,0.805851101875305
"soybean",256,4,0.813559353351593,0.1,"diavolo",0.25,0.795212805271149
"soybean",256,2,0.813559293746948,0.01,"rect",0.5,0.835106313228607
"soybean",512,2,0.805084705352783,0.01,"rect",0.25,0.829787254333496
"soybean",512,2,0.796610176563263,0.01,"rect",0.5,0.859042584896088
"soybean",512,3,0.796610116958618,0.01,"rect",0.5,0.821808576583862
"soybean",1024,2,0.79491525888443,0.01,"rect",0.25,0.795212805271149
"soybean",256,16,0.794915252923965,0.1,"diavolo",0.25,0.845744669437408
"soybean",256,16,0.79322030544281,0.01,"diavolo",0.25,0.76329779624939
"soybean",1024,16,0.78813561797142,0.01,"rect",0.5,0.773936152458191
"soybean",256,8,0.788135588169098,0.1,"rect",0.25,0.880319118499756
"soybean",1024,4,0.786440670490265,0.01,"rect",0.5,0.744680881500244
"soybean",512,4,0.779661059379578,0.01,"rect",0.5,0.781914830207825
"soybean",512,3,0.779660999774933,0.01,"diavolo",0.5,0.675531923770905
"soybean",512,2,0.779660999774933,0.01,"diavolo",0.25,0.760638296604156
"soybean",512,16,0.767796611785889,0.01,"rect",0.5,0.805851101875305
"soybean",1024,16,0.762711882591248,0.01,"diavolo",0.25,0.699468076229095
"soybean",256,8,0.762711882591248,0.01,"rect",0.25,0.702127635478973
"soybean",512,4,0.762711882591248,0.01,"rect",0.25,0.792553186416626
"soybean",512,2,0.762711882591248,0.1,"diavolo",0.5,0.763297915458679
"soybean",1024,2,0.755932211875916,0.01,"diavolo",0.5,0.75
"soybean",1024,16,0.754237282276154,0.01,"diavolo",0.5,0.757978737354279
"soybean",512,16,0.749152541160583,0.01,"rect",0.25,0.792553186416626
"soybean",512,16,0.745762705802917,0.01,"diavolo",0.5,0.776595711708069
"soybean",256,4,0.745762705802917,0.01,"rect",0.25,0.739361703395844
"soybean",256,3,0.745762705802917,0.01,"rect",0.25,0.816489338874817
"soybean",256,3,0.745762705802917,0.01,"rect",0.5,0.803191483020782
"soybean",512,2,0.744067794084549,0.01,"diavolo",0.5,0.771276652812958
"soybean",256,3,0.744067788124084,0.01,"diavolo",0.25,0.803191423416138
"soybean",256,2,0.742372870445251,0.01,"diavolo",0.5,0.75
"soybean",256,4,0.737288117408752,0.01,"rect",0.5,0.760638296604156
"soybean",256,8,0.733898282051086,0.01,"diavolo",0.25,0.771276593208313
"soybean",256,4,0.728813529014587,0.01,"diavolo",0.25,0.755319178104401
"soybean",1024,3,0.728813529014587,0.01,"rect",0.25,0.784574449062347
"soybean",512,16,0.72203386425972,0.1,"diavolo",0.25,0.789893627166748
"soybean",512,8,0.718644058704376,0.01,"rect",0.5,0.726063847541809
"soybean",512,8,0.715254235267639,0.01,"diavolo",0.5,0.712765991687775
"soybean",512,3,0.713559323549271,0.01,"diavolo",0.25,0.792553186416626
"soybean",512,8,0.711864352226257,0.01,"rect",0.25,0.723404288291931
"soybean",256,16,0.703389811515808,0.01,"rect",0.5,0.742021262645721
"soybean",1024,8,0.698305064439774,0.01,"diavolo",0.5,0.66223406791687
"soybean",1024,16,0.698305052518845,0.1,"diavolo",0.25,0.625
"soybean",1024,3,0.696610152721405,0.01,"rect",0.5,0.715425491333008
"soybean",256,16,0.696610152721405,0.1,"rect",0.5,0.781914889812469
"soybean",256,8,0.684745764732361,0.01,"diavolo",0.5,0.736702084541321
"soybean",256,3,0.677966117858887,0.01,"diavolo",0.5,0.715425550937653
"soybean",256,2,0.677966117858887,0.01,"rect",0.25,0.707446813583374
"soybean",512,16,0.676271188259125,0.01,"diavolo",0.25,0.747340440750122
"soybean",256,8,0.674576270580292,0.01,"rect",0.5,0.688829779624939
"soybean",256,16,0.66271185874939,0.01,"diavolo",0.5,0.819149017333984
"soybean",512,3,0.661016941070557,0.01,"rect",0.25,0.683510601520538
"soybean",1024,2,0.661016941070557,0.01,"diavolo",0.25,0.731382966041565
"soybean",1024,8,0.659322041273117,0.01,"rect",0.5,0.728723406791687
"soybean",512,4,0.655932193994522,0.01,"diavolo",0.25,0.672872364521027
"soybean",1024,4,0.644067764282227,0.01,"rect",0.25,0.664893627166748
"soybean",256,4,0.644067764282227,0.01,"diavolo",0.5,0.718085050582886
"soybean",1024,3,0.644067764282227,0.01,"diavolo",0.5,0.640957415103912
"soybean",1024,8,0.637288117408753,0.01,"rect",0.25,0.699468076229095
"soybean",512,8,0.635593235492706,0.01,"diavolo",0.25,0.69414895772934
"soybean",1024,3,0.635593211650848,0.01,"diavolo",0.25,0.691489398479462
"soybean",1024,4,0.620338994264603,0.01,"diavolo",0.5,0.675531923770905
"soybean",1024,4,0.603389859199524,0.01,"diavolo",0.25,0.648936152458191
"soybean",1024,8,0.593220353126526,0.01,"diavolo",0.25,0.654255330562592
"soybean",512,4,0.57118644118309,0.01,"diavolo",0.5,0.667553186416626
"soybean",256,16,0.250847455859184,0.1,"diavolo",0.5,0.234042540192604
"soybean",256,16,0.230508472770452,0.1,"rect",0.25,0.218085110187531
"soybean",512,8,0.172881358116865,0.1,"diavolo",0.5,0.101063825190067
"soybean",512,16,0.135593220591545,0.1,"diavolo",0.5,0.135638296604156
"soybean",1024,8,0.116949151456356,0.1,"diavolo",0.5,0.138297870755196
"soybean",1024,2,0.0999999977648258,1,"diavolo",0.25,0.0664893612265587
"soybean",256,16,0.0932203404605389,0.01,"rect",0.25,0.175531908869743
"soybean",256,3,0.0830508463084698,1,"diavolo",0.5,0.0664893612265587
"soybean",512,16,0.0813559310510755,0.1,"rect",0.5,0.0265957452356815
"soybean",512,2,0.0644067786633968,1,"diavolo",0.25,0.0664893612265587
"soybean",256,2,0.0644067782908678,1,"diavolo",0.5,0.0664893612265587
"soybean",256,2,0.0610169479623437,1,"diavolo",0.25,0.0638297870755196
"soybean",1024,8,0.0593220330774784,0.1,"rect",0.25,0.0265957452356815
"soybean",256,3,0.0559322025626898,1,"rect",0.5,0.0664893612265587
"soybean",256,2,0.054237288236618,1,"rect",0.5,0.0664893612265587
"soybean",512,2,0.0525423724204302,1,"rect",0.5,0.0664893612265587
"soybean",256,4,0.0508474579080939,1,"diavolo",0.25,0.0664893612265587
"soybean",1024,8,0.0508474577218294,0.1,"rect",0.5,0.223404243588448
"soybean",256,4,0.0508474573493004,1,"rect",0.5,0.0664893612265587
"soybean",1024,3,0.0508474573493004,1,"rect",0.5,0.0664893612265587
"soybean",256,3,0.0508474569767713,1,"rect",0.25,0.0664893612265587
"soybean",256,4,0.0491525426506996,1,"diavolo",0.5,0.0664893612265587
"soybean",512,3,0.0491525419056415,1,"diavolo",0.25,0.0664893612265587
"soybean",512,4,0.0474576275795698,1,"rect",0.25,0.0664893612265587
"soybean",512,3,0.0474576264619827,1,"diavolo",0.5,0.0664893612265587
"soybean",1024,2,0.045762711763382,1,"diavolo",0.5,0.0664893612265587
"soybean",512,16,0.0457627115771174,0.1,"rect",0.25,0.0265957452356815
"soybean",256,3,0.0457627115771174,1,"diavolo",0.25,0.0478723384439945
"soybean",1024,16,0.0440677966922522,0.1,"rect",0.5,0.0664893612265587
"soybean",512,2,0.0440677963197231,1,"rect",0.25,0.0664893612265587
"soybean",1024,16,0.0423728812485933,0.1,"rect",0.25,0.0664893612265587
"soybean",512,3,0.0423728812485933,1,"rect",0.5,0.0664893612265587
"soybean",256,4,0.0423728808760643,1,"rect",0.25,0.0664893612265587
"soybean",512,4,0.040677965991199,1,"rect",0.5,0.0664893612265587
"soybean",512,3,0.0406779658049345,1,"rect",0.25,0.0664893612265587
"soybean",1024,3,0.0389830511063337,1,"diavolo",0.25,0.0664893612265587
"soybean",512,8,0.0389830507338047,1,"diavolo",0.5,0.0664893612265587
"soybean",1024,2,0.0372881358489394,1,"rect",0.5,0.0664893612265587
"soybean",256,16,0.0372881356626749,1,"diavolo",0.25,0.0664893612265587
"soybean",1024,3,0.0372881352901459,1,"diavolo",0.5,0.0664893612265587
"soybean",1024,2,0.0372881352901459,1,"rect",0.25,0.0664893612265587
"soybean",1024,16,0.0355932202190161,1,"diavolo",0.5,0.0664893612265587
"soybean",1024,4,0.0355932202190161,1,"rect",0.5,0.0664893612265587
"soybean",1024,4,0.0355932202190161,1,"diavolo",0.25,0.0664893612265587
"soybean",1024,4,0.0355932202190161,1,"diavolo",0.5,0.0664893612265587
"soybean",512,4,0.0355932202190161,1,"diavolo",0.25,0.0664893612265587
"soybean",1024,16,0.0355932200327516,0.1,"diavolo",0.5,0.0638297870755196
"soybean",1024,16,0.0338983051478863,1,"rect",0.25,0.0664893612265587
"soybean",1024,16,0.0338983051478863,1,"rect",0.5,0.0664893612265587
"soybean",1024,16,0.0338983051478863,1,"diavolo",0.25,0.0664893612265587
"soybean",512,16,0.0338983051478863,1,"rect",0.25,0.0664893612265587
"soybean",512,16,0.0338983051478863,1,"rect",0.5,0.0664893612265587
"soybean",512,16,0.0338983051478863,1,"diavolo",0.25,0.0664893612265587
"soybean",512,16,0.0338983051478863,1,"diavolo",0.5,0.0664893612265587
"soybean",256,16,0.0338983051478863,1,"rect",0.25,0.0664893612265587
"soybean",256,16,0.0338983051478863,1,"rect",0.5,0.0664893612265587
"soybean",256,16,0.0338983051478863,1,"diavolo",0.5,0.0664893612265587
"soybean",1024,8,0.0338983051478863,1,"rect",0.25,0.0664893612265587
"soybean",1024,8,0.0338983051478863,1,"rect",0.5,0.0664893612265587
"soybean",1024,8,0.0338983051478863,1,"diavolo",0.25,0.0664893612265587
"soybean",1024,8,0.0338983051478863,1,"diavolo",0.5,0.0664893612265587
"soybean",512,8,0.0338983051478863,1,"rect",0.25,0.0664893612265587
"soybean",512,8,0.0338983051478863,1,"rect",0.5,0.0664893612265587
"soybean",512,8,0.0338983051478863,1,"diavolo",0.25,0.0664893612265587
"soybean",256,8,0.0338983051478863,1,"rect",0.25,0.0664893612265587
"soybean",256,8,0.0338983051478863,1,"rect",0.5,0.0664893612265587
"soybean",256,8,0.0338983051478863,1,"diavolo",0.25,0.0664893612265587
"soybean",256,8,0.0338983051478863,1,"diavolo",0.5,0.0664893612265587
"soybean",1024,4,0.0338983051478863,1,"rect",0.25,0.0664893612265587
"soybean",512,4,0.0338983051478863,1,"diavolo",0.5,0.0664893612265587
"soybean",1024,3,0.0338983051478863,1,"rect",0.25,0.0664893612265587
"soybean",512,2,0.0338983051478863,1,"diavolo",0.5,0.0664893612265587
"soybean",256,2,0.0338983051478863,1,"rect",0.25,0.0664893612265587
