"dataset","layerForm","nlayers","learningrate","valAccuracy","testAccuracy","nhidden"
"contrac","rect",4,0.01,0.578947359323502,0.475543439388275,512
"contrac","cone",3,0.01,0.578070187568665,0.529891312122345,256
"contrac","cone",4,0.01,0.570175445079803,0.47554349899292,1024
"contrac","cone",4,0.01,0.557894730567932,0.513586938381195,256
"contrac","cone",3,0.01,0.557017540931702,0.500000059604645,1024
"contrac","cone",2,0.01,0.548245620727539,0.529891312122345,1024
"contrac","rect",2,0.1,0.547368413209915,0.53804349899292,256
"contrac","rect",4,0.01,0.542105257511139,0.5,256
"contrac","cone",2,0.1,0.539473670721054,0.51902174949646,1024
"contrac","cone",4,0.01,0.534210532903671,0.491847813129425,512
"contrac","rect",3,0.01,0.531578952074051,0.47826087474823,1024
"contrac","rect",2,0.01,0.529824566841125,0.52173912525177,512
"contrac","rect",3,0.01,0.528947353363037,0.494565218687057,512
"contrac","rect",3,0.01,0.524561417102814,0.46195650100708,256
"contrac","rect",2,0.1,0.523684212565422,0.483695656061172,1024
"contrac","cone",2,0.01,0.523684203624725,0.51630437374115,512
"contrac","cone",2,0.1,0.516666662693024,0.489130467176437,256
"contrac","rect",2,0.01,0.509649121761322,0.529891312122345,256
"contrac","cone",2,0.01,0.506140354275703,0.513586938381195,256
"contrac","cone",3,0.01,0.5,0.497282594442368,512
"contrac","rect",4,0.01,0.494736841320992,0.48369562625885,1024
"contrac","rect",8,0.01,0.479824563860893,0.464673906564713,1024
"contrac","rect",2,0.01,0.476315787434578,0.52173912525177,1024
"contrac","cone",2,0.1,0.474561405181885,0.50543475151062,512
"contrac","rect",3,0.1,0.472807011008263,0.41576087474823,1024
"contrac","cone",4,0.1,0.47280700802803,0.429347842931747,256
"contrac","rect",3,0.1,0.467543855309486,0.434782594442368,512
"contrac","rect",8,0.01,0.458771935105324,0.39130437374115,512
"contrac","rect",3,0.1,0.454385963082314,0.513586938381195,256
"contrac","rect",2,0.1,0.43684209883213,0.453804343938828,512
"contrac","rect",8,0.01,0.428070187568665,0.404891312122345,256
"contrac","cone",2,1,0.42631579041481,0.4375,256
"contrac","cone",32,0.01,0.40350878238678,0.429347842931747,1024
"contrac","rect",32,0.01,0.40350878238678,0.429347842931747,1024
"contrac","cone",32,0.01,0.40350878238678,0.429347842931747,512
"contrac","rect",32,0.01,0.40350878238678,0.429347842931747,512
"contrac","cone",32,0.01,0.40350878238678,0.42934787273407,256
"contrac","cone",32,0.1,0.40350878238678,0.429347842931747,1024
"contrac","rect",32,0.1,0.40350878238678,0.429347842931747,1024
"contrac","cone",32,0.1,0.40350878238678,0.429347842931747,512
"contrac","rect",32,0.1,0.40350878238678,0.42934787273407,512
"contrac","cone",32,0.1,0.40350878238678,0.42934787273407,256
"contrac","rect",32,0.1,0.40350878238678,0.429347842931747,256
"contrac","cone",32,1,0.40350878238678,0.429347842931747,1024
"contrac","rect",32,1,0.40350878238678,0.42934787273407,1024
"contrac","cone",32,1,0.40350878238678,0.429347842931747,512
"contrac","rect",32,1,0.40350878238678,0.429347842931747,512
"contrac","cone",32,1,0.40350878238678,0.429347842931747,256
"contrac","rect",32,1,0.40350878238678,0.42934787273407,256
"contrac","rect",16,0.01,0.40350878238678,0.429347842931747,1024
"contrac","rect",16,0.01,0.40350878238678,0.429347842931747,512
"contrac","cone",16,0.01,0.40350878238678,0.42934787273407,256
"contrac","rect",16,0.01,0.40350878238678,0.42934787273407,256
"contrac","cone",16,0.1,0.40350878238678,0.429347842931747,1024
"contrac","rect",16,0.1,0.40350878238678,0.429347842931747,1024
"contrac","cone",16,0.1,0.40350878238678,0.429347842931747,512
"contrac","rect",16,0.1,0.40350878238678,0.429347842931747,512
"contrac","cone",16,0.1,0.40350878238678,0.42934787273407,256
"contrac","rect",16,0.1,0.40350878238678,0.429347842931747,256
"contrac","cone",16,1,0.40350878238678,0.42934787273407,1024
"contrac","rect",16,1,0.40350878238678,0.429347842931747,1024
"contrac","cone",16,1,0.40350878238678,0.42934787273407,512
"contrac","rect",16,1,0.40350878238678,0.429347842931747,512
"contrac","cone",16,1,0.40350878238678,0.429347842931747,256
"contrac","rect",16,1,0.40350878238678,0.429347842931747,256
"contrac","cone",8,0.01,0.40350878238678,0.429347842931747,1024
"contrac","cone",8,0.01,0.40350878238678,0.42934787273407,512
"contrac","cone",8,0.01,0.40350878238678,0.429347842931747,256
"contrac","cone",8,0.1,0.40350878238678,0.42934787273407,1024
"contrac","rect",8,0.1,0.40350878238678,0.429347842931747,1024
"contrac","cone",8,0.1,0.40350878238678,0.429347842931747,512
"contrac","rect",8,0.1,0.40350878238678,0.429347842931747,512
"contrac","cone",8,0.1,0.40350878238678,0.42934787273407,256
"contrac","rect",8,0.1,0.40350878238678,0.429347842931747,256
"contrac","cone",8,1,0.40350878238678,0.429347842931747,1024
"contrac","rect",8,1,0.40350878238678,0.42934787273407,1024
"contrac","cone",8,1,0.40350878238678,0.429347842931747,512
"contrac","rect",8,1,0.40350878238678,0.42934787273407,512
"contrac","cone",8,1,0.40350878238678,0.429347842931747,256
"contrac","rect",8,1,0.40350878238678,0.429347842931747,256
"contrac","cone",4,0.1,0.40350878238678,0.42934787273407,1024
"contrac","rect",4,0.1,0.40350878238678,0.429347842931747,1024
"contrac","cone",4,0.1,0.40350878238678,0.42934787273407,512
"contrac","cone",4,1,0.40350878238678,0.429347842931747,1024
"contrac","rect",4,1,0.40350878238678,0.42934787273407,1024
"contrac","cone",4,1,0.40350878238678,0.429347842931747,512
"contrac","rect",4,1,0.40350878238678,0.429347842931747,512
"contrac","cone",4,1,0.40350878238678,0.429347842931747,256
"contrac","rect",4,1,0.40350878238678,0.429347842931747,256
"contrac","cone",3,0.1,0.40350878238678,0.429347842931747,1024
"contrac","cone",3,0.1,0.40350878238678,0.429347842931747,512
"contrac","cone",3,0.1,0.40350878238678,0.429347842931747,256
"contrac","cone",3,1,0.40350878238678,0.429347842931747,1024
"contrac","rect",3,1,0.40350878238678,0.429347842931747,1024
"contrac","cone",3,1,0.40350878238678,0.42934787273407,512
"contrac","rect",3,1,0.40350878238678,0.429347842931747,512
"contrac","cone",3,1,0.40350878238678,0.429347842931747,256
"contrac","rect",3,1,0.40350878238678,0.42934787273407,256
"contrac","cone",2,1,0.40350878238678,0.42934787273407,1024
"contrac","rect",2,1,0.40350878238678,0.42934787273407,1024
"contrac","cone",2,1,0.40350878238678,0.429347842931747,512
"contrac","rect",2,1,0.40350878238678,0.42934787273407,512
"contrac","rect",2,1,0.40350878238678,0.42934787273407,256
"contrac","rect",4,0.1,0.400000002980232,0.41847825050354,512
"contrac","rect",4,0.1,0.387719312310219,0.383152157068253,256
"contrac","rect",32,0.01,0.333333343267441,0.345108687877655,256
"contrac","cone",16,0.01,0.333333343267441,0.345108687877655,1024
"contrac","cone",16,0.01,0.263157874345779,0.225543469190598,512
