"dataset","valAccuracy","learningrate","testAccuracy","nhidden","nlayers","layerForm"
"echocardiogram",0.928571462631226,0.01,0.787878751754761,1024,4,"cone"
"echocardiogram",0.928571462631226,0.01,0.818181872367859,512,3,"cone"
"echocardiogram",0.928571462631226,0.1,0.787878751754761,1024,3,"cone"
"echocardiogram",0.928571462631226,0.1,0.818181872367859,1024,2,"rect"
"echocardiogram",0.907142901420593,0.1,0.757575750350952,1024,2,"cone"
"echocardiogram",0.900000029802323,0.01,0.787878751754761,1024,2,"cone"
"echocardiogram",0.892857164144516,0.1,0.787878751754761,512,3,"rect"
"echocardiogram",0.871428608894348,0.1,0.757575750350952,256,3,"cone"
"echocardiogram",0.864285731315613,0.1,0.757575750350952,256,2,"rect"
"echocardiogram",0.8571428835392,0.01,0.787878751754761,1024,3,"rect"
"echocardiogram",0.850000065565109,0.1,0.757575750350952,512,2,"cone"
"echocardiogram",0.850000011920929,0.01,0.757575750350952,256,4,"cone"
"echocardiogram",0.842857199907303,0.01,0.787878751754761,256,3,"rect"
"echocardiogram",0.835714334249497,0.01,0.696969747543335,256,2,"cone"
"echocardiogram",0.835714328289032,0.01,0.757575750350952,256,4,"rect"
"echocardiogram",0.792857170104981,0.01,0.727272748947144,512,4,"rect"
"echocardiogram",0.785714328289032,0.01,0.818181872367859,512,4,"cone"
"echocardiogram",0.785714268684387,0.1,0.727272748947144,256,3,"rect"
"echocardiogram",0.77857146859169,0.01,0.787878751754761,256,2,"rect"
"echocardiogram",0.771428620815277,0.01,0.787878751754761,1024,2,"rect"
"echocardiogram",0.757142853736878,0.1,0.696969747543335,256,2,"cone"
"echocardiogram",0.75,0.1,0.818181872367859,1024,3,"rect"
"echocardiogram",0.735714310407639,0.01,0.666666626930237,512,2,"rect"
"echocardiogram",0.735714304447174,0.01,0.757575750350952,512,2,"cone"
"echocardiogram",0.707142877578735,0.1,0.727272748947144,512,3,"cone"
"echocardiogram",0.700000041723251,0.01,0.696969747543335,512,3,"rect"
"echocardiogram",0.69285717010498,0.01,0.757575750350952,1024,4,"rect"
"echocardiogram",0.67857146859169,0.01,0.696969747543335,256,3,"cone"
"echocardiogram",0.578571456670761,0.1,0.757575750350952,512,2,"rect"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,1024,32,"cone"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,1024,32,"rect"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,512,32,"cone"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,512,32,"rect"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,256,32,"cone"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,256,32,"rect"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,1024,32,"cone"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,1024,32,"rect"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,512,32,"cone"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,512,32,"rect"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,256,32,"cone"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,256,32,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,32,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,32,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,32,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,32,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,32,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,32,"rect"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,1024,16,"cone"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,1024,16,"rect"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,512,16,"cone"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,256,16,"cone"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,256,16,"rect"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,1024,16,"cone"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,1024,16,"rect"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,512,16,"cone"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,512,16,"rect"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,256,16,"cone"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,256,16,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,16,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,16,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,16,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,16,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,16,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,16,"rect"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,1024,8,"rect"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,512,8,"rect"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,256,8,"cone"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,256,8,"rect"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,1024,8,"cone"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,1024,8,"rect"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,512,8,"cone"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,512,8,"rect"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,256,8,"cone"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,256,8,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,8,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,8,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,8,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,8,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,8,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,8,"rect"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,1024,4,"rect"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,512,4,"cone"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,512,4,"rect"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,256,4,"cone"
"echocardiogram",0.571428596973419,0.1,0.696969747543335,256,4,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,4,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,4,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,4,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,4,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,4,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,4,"rect"
"echocardiogram",0.571428596973419,0.01,0.696969747543335,1024,3,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,3,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,3,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,3,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,3,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,3,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,3,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,2,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,1024,2,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,2,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,512,2,"rect"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,2,"cone"
"echocardiogram",0.571428596973419,1,0.696969747543335,256,2,"rect"
"echocardiogram",0.53571429848671,0.1,0.787878751754761,1024,4,"cone"
"echocardiogram",0.457142862677574,0.01,0.30303031206131,512,8,"cone"
"echocardiogram",0.428571432828903,0.01,0.30303031206131,512,16,"rect"
"echocardiogram",0.428571432828903,0.01,0.30303031206131,1024,8,"cone"
