"dataset","layerForm","nhidden","testAccuracy","valAccuracy","learningrate","nlayers"
"pittsburg-bridges-TYPE","cone",512,0.46153849363327,0.833333373069763,0.01,2
"pittsburg-bridges-TYPE","cone",256,0.653846144676208,0.833333373069763,0.1,2
"pittsburg-bridges-TYPE","rect",512,0.538461565971375,0.816666704416275,0.1,2
"pittsburg-bridges-TYPE","cone",512,0.576923131942749,0.800000035762787,0.1,2
"pittsburg-bridges-TYPE","cone",1024,0.538461565971375,0.716666692495346,0.01,2
"pittsburg-bridges-TYPE","cone",512,0.615384697914124,0.70000002682209,0.01,3
"pittsburg-bridges-TYPE","rect",512,0.538461565971375,0.700000023841858,0.01,4
"pittsburg-bridges-TYPE","cone",1024,0.576923131942749,0.700000023841858,0.01,3
"pittsburg-bridges-TYPE","cone",512,0.5,0.700000023841858,0.1,3
"pittsburg-bridges-TYPE","rect",512,0.730769276618958,0.700000023841858,0.01,2
"pittsburg-bridges-TYPE","rect",256,0.576923131942749,0.666666686534881,0.01,3
"pittsburg-bridges-TYPE","rect",256,0.538461565971375,0.666666686534881,0.1,2
"pittsburg-bridges-TYPE","cone",256,0.615384638309479,0.650000020861626,0.01,2
"pittsburg-bridges-TYPE","rect",1024,0.538461565971375,0.633333349227905,0.01,3
"pittsburg-bridges-TYPE","rect",512,0.653846144676208,0.633333349227905,0.01,3
"pittsburg-bridges-TYPE","rect",1024,0.576923131942749,0.633333349227905,0.01,2
"pittsburg-bridges-TYPE","cone",1024,0.653846204280853,0.616666680574417,0.1,3
"pittsburg-bridges-TYPE","cone",1024,0.538461565971375,0.616666680574417,0.01,4
"pittsburg-bridges-TYPE","rect",256,0.615384697914124,0.600000011920929,0.01,2
"pittsburg-bridges-TYPE","cone",256,0.615384638309479,0.583333343267441,0.01,3
"pittsburg-bridges-TYPE","cone",256,0.576923131942749,0.566666674613953,0.01,4
"pittsburg-bridges-TYPE","rect",256,0.576923131942749,0.566666674613953,0.01,4
"pittsburg-bridges-TYPE","rect",1024,0.5,0.533333343267441,0.01,4
"pittsburg-bridges-TYPE","cone",1024,0.5,0.533333337306976,0.1,2
"pittsburg-bridges-TYPE","rect",512,0.5,0.5,0.1,32
"pittsburg-bridges-TYPE","rect",256,0.5,0.5,0.1,32
"pittsburg-bridges-TYPE","cone",512,0.5,0.5,1,32
"pittsburg-bridges-TYPE","cone",512,0.5,0.5,0.1,16
"pittsburg-bridges-TYPE","cone",256,0.5,0.5,1,16
"pittsburg-bridges-TYPE","cone",256,0.5,0.5,0.01,8
"pittsburg-bridges-TYPE","rect",1024,0.5,0.5,1,8
"pittsburg-bridges-TYPE","cone",512,0.5,0.5,0.01,4
"pittsburg-bridges-TYPE","rect",1024,0.5,0.5,0.1,4
"pittsburg-bridges-TYPE","cone",512,0.5,0.5,0.1,4
"pittsburg-bridges-TYPE","cone",256,0.5,0.5,0.1,4
"pittsburg-bridges-TYPE","rect",1024,0.5,0.5,1,4
"pittsburg-bridges-TYPE","rect",512,0.5,0.5,1,4
"pittsburg-bridges-TYPE","rect",256,0.5,0.5,1,4
"pittsburg-bridges-TYPE","rect",512,0.5,0.5,0.1,3
"pittsburg-bridges-TYPE","cone",256,0.5,0.5,0.1,3
"pittsburg-bridges-TYPE","rect",256,0.5,0.5,0.1,3
"pittsburg-bridges-TYPE","cone",1024,0.5,0.5,1,3
"pittsburg-bridges-TYPE","rect",512,0.5,0.5,1,3
"pittsburg-bridges-TYPE","cone",256,0.5,0.5,1,2
"pittsburg-bridges-TYPE","rect",1024,0.5,0.45,0.1,3
"pittsburg-bridges-TYPE","rect",1024,0.5,0.45,0.1,2
"pittsburg-bridges-TYPE","rect",512,0.15384615957737,0.350000008940697,1,2
"pittsburg-bridges-TYPE","rect",1024,0.15384615957737,0.333333343267441,0.01,32
"pittsburg-bridges-TYPE","rect",512,0.15384615957737,0.333333343267441,0.01,32
"pittsburg-bridges-TYPE","cone",256,0.15384615957737,0.333333343267441,0.01,32
"pittsburg-bridges-TYPE","rect",256,0.15384615957737,0.333333343267441,0.01,32
"pittsburg-bridges-TYPE","cone",1024,0.15384615957737,0.333333343267441,0.1,32
"pittsburg-bridges-TYPE","rect",1024,0.15384615957737,0.333333343267441,0.1,32
"pittsburg-bridges-TYPE","cone",512,0.15384615957737,0.333333343267441,0.1,32
"pittsburg-bridges-TYPE","cone",256,0.15384615957737,0.333333343267441,0.1,32
"pittsburg-bridges-TYPE","cone",1024,0.15384615957737,0.333333343267441,1,32
"pittsburg-bridges-TYPE","rect",1024,0.15384615957737,0.333333343267441,1,32
"pittsburg-bridges-TYPE","rect",512,0.15384615957737,0.333333343267441,1,32
"pittsburg-bridges-TYPE","cone",256,0.15384615957737,0.333333343267441,1,32
"pittsburg-bridges-TYPE","rect",256,0.15384615957737,0.333333343267441,1,32
"pittsburg-bridges-TYPE","cone",1024,0.15384615957737,0.333333343267441,0.01,16
"pittsburg-bridges-TYPE","rect",1024,0.15384615957737,0.333333343267441,0.01,16
"pittsburg-bridges-TYPE","cone",512,0.15384615957737,0.333333343267441,0.01,16
"pittsburg-bridges-TYPE","rect",512,0.15384615957737,0.333333343267441,0.01,16
"pittsburg-bridges-TYPE","cone",256,0.15384615957737,0.333333343267441,0.01,16
"pittsburg-bridges-TYPE","rect",256,0.15384615957737,0.333333343267441,0.01,16
"pittsburg-bridges-TYPE","cone",1024,0.15384615957737,0.333333343267441,0.1,16
"pittsburg-bridges-TYPE","rect",1024,0.15384615957737,0.333333343267441,0.1,16
"pittsburg-bridges-TYPE","rect",512,0.15384615957737,0.333333343267441,0.1,16
"pittsburg-bridges-TYPE","cone",256,0.15384615957737,0.333333343267441,0.1,16
"pittsburg-bridges-TYPE","rect",256,0.15384615957737,0.333333343267441,0.1,16
"pittsburg-bridges-TYPE","cone",1024,0.15384615957737,0.333333343267441,1,16
"pittsburg-bridges-TYPE","rect",1024,0.15384615957737,0.333333343267441,1,16
"pittsburg-bridges-TYPE","cone",512,0.15384615957737,0.333333343267441,1,16
"pittsburg-bridges-TYPE","rect",512,0.15384615957737,0.333333343267441,1,16
"pittsburg-bridges-TYPE","rect",256,0.15384615957737,0.333333343267441,1,16
"pittsburg-bridges-TYPE","cone",1024,0.15384615957737,0.333333343267441,0.01,8
"pittsburg-bridges-TYPE","rect",1024,0.15384615957737,0.333333343267441,0.01,8
"pittsburg-bridges-TYPE","rect",512,0.15384615957737,0.333333343267441,0.01,8
"pittsburg-bridges-TYPE","rect",256,0.15384615957737,0.333333343267441,0.01,8
"pittsburg-bridges-TYPE","cone",1024,0.15384615957737,0.333333343267441,0.1,8
"pittsburg-bridges-TYPE","rect",1024,0.15384615957737,0.333333343267441,0.1,8
"pittsburg-bridges-TYPE","cone",512,0.15384615957737,0.333333343267441,0.1,8
"pittsburg-bridges-TYPE","rect",512,0.15384615957737,0.333333343267441,0.1,8
"pittsburg-bridges-TYPE","cone",256,0.15384615957737,0.333333343267441,0.1,8
"pittsburg-bridges-TYPE","rect",256,0.15384615957737,0.333333343267441,0.1,8
"pittsburg-bridges-TYPE","cone",1024,0.15384615957737,0.333333343267441,1,8
"pittsburg-bridges-TYPE","cone",512,0.15384615957737,0.333333343267441,1,8
"pittsburg-bridges-TYPE","rect",512,0.15384615957737,0.333333343267441,1,8
"pittsburg-bridges-TYPE","cone",256,0.15384615957737,0.333333343267441,1,8
"pittsburg-bridges-TYPE","rect",256,0.15384615957737,0.333333343267441,1,8
"pittsburg-bridges-TYPE","cone",1024,0.15384615957737,0.333333343267441,0.1,4
"pittsburg-bridges-TYPE","rect",512,0.15384615957737,0.333333343267441,0.1,4
"pittsburg-bridges-TYPE","rect",256,0.15384615957737,0.333333343267441,0.1,4
"pittsburg-bridges-TYPE","cone",1024,0.15384615957737,0.333333343267441,1,4
"pittsburg-bridges-TYPE","cone",512,0.15384615957737,0.333333343267441,1,4
"pittsburg-bridges-TYPE","cone",256,0.15384615957737,0.333333343267441,1,4
"pittsburg-bridges-TYPE","rect",1024,0.15384615957737,0.333333343267441,1,3
"pittsburg-bridges-TYPE","cone",512,0.15384615957737,0.333333343267441,1,3
"pittsburg-bridges-TYPE","cone",256,0.15384615957737,0.333333343267441,1,3
"pittsburg-bridges-TYPE","rect",256,0.15384615957737,0.333333343267441,1,3
"pittsburg-bridges-TYPE","cone",1024,0.15384615957737,0.333333343267441,1,2
"pittsburg-bridges-TYPE","rect",1024,0.15384615957737,0.333333343267441,1,2
"pittsburg-bridges-TYPE","cone",512,0.15384615957737,0.333333343267441,1,2
"pittsburg-bridges-TYPE","rect",256,0.15384615957737,0.333333343267441,1,2
"pittsburg-bridges-TYPE","cone",512,0.0769230797886848,0.16666667163372,0.01,32
"pittsburg-bridges-TYPE","cone",1024,0.0769230797886848,0,0.01,32
"pittsburg-bridges-TYPE","cone",512,0.0769230797886848,0,0.01,8
