dataset,rows,features,task,model_name,test_score,test_accuracy,hyperparameters
molec-biol-splice,3190,60,CLASSIFICATION,snn_molec-biol-splice,1.1420912070662592,0.8622129438814391,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
monks-1,556,6,CLASSIFICATION,snn_monks-1,0.12148341179514925,0.9642857142857144,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
monks-2,601,6,CLASSIFICATION,snn_monks-2,0.6178493643855001,0.8461538481188344,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
monks-3,554,6,CLASSIFICATION,snn_monks-3,0.24875435871737345,0.9166666609900338,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
mushroom,8124,21,CLASSIFICATION,snn_mushroom,1.0962477347616921e-07,1.0,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
musk-1,476,166,CLASSIFICATION,snn_musk-1,0.7334129909674326,0.9027777777777778,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
musk-2,6598,166,CLASSIFICATION,snn_musk-2,0.006930742443320483,0.997979797979798,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
nursery,12960,8,CLASSIFICATION,snn_nursery,0.5992278137815342,0.6862139920148339,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
oocytes_merluccius_nucleus_4d,1022,41,CLASSIFICATION,snn_oocytes_merluccius_nucleus_4d,0.3902989306620189,0.8279220810184231,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
oocytes_merluccius_states_2f,1022,25,CLASSIFICATION,snn_oocytes_merluccius_states_2f,0.3036024889775685,0.915584416358502,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
oocytes_trisopterus_nucleus_2f,912,25,CLASSIFICATION,snn_oocytes_trisopterus_nucleus_2f,0.4243958509751479,0.8649635049548462,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
oocytes_trisopterus_states_5b,912,32,CLASSIFICATION,snn_oocytes_trisopterus_states_5b,0.5604152105150432,0.8832116797022576,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
optical,5620,62,CLASSIFICATION,snn_optical,2.299853708961822,0.10320284711649977,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
ozone,2536,72,CLASSIFICATION,snn_ozone,0.20101698537985369,0.9593175870227064,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
page-blocks,5473,10,CLASSIFICATION,snn_page-blocks,0.08775988320993593,0.9719853837510408,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
parkinsons,195,22,CLASSIFICATION,snn_parkinsons,0.8865091800689697,0.7333333492279053,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
pendigits,10992,16,CLASSIFICATION,snn_pendigits,0.12414227584585902,0.9909035779621616,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
pima,768,8,CLASSIFICATION,snn_pima,0.6599755379660376,0.7327586227449877,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
pittsburg-bridges-MATERIAL,106,7,CLASSIFICATION,snn_pittsburg-bridges-MATERIAL,1.5077438354492188,0.5625,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
pittsburg-bridges-REL-L,103,7,CLASSIFICATION,snn_pittsburg-bridges-REL-L,3.726249217987061,0.6875,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
pittsburg-bridges-SPAN,92,7,CLASSIFICATION,snn_pittsburg-bridges-SPAN,0.8220701813697815,0.5,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
pittsburg-bridges-T-OR-D,102,7,CLASSIFICATION,snn_pittsburg-bridges-T-OR-D,0.4657875299453736,0.9375,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
pittsburg-bridges-TYPE,105,7,CLASSIFICATION,snn_pittsburg-bridges-TYPE,2.9177136421203613,0.375,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
planning,182,12,CLASSIFICATION,snn_planning,1.6459041833877563,0.4821428656578064,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
plant-margin,1600,64,CLASSIFICATION,snn_plant-margin,4.605170249938965,0.0041666666666666675,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
plant-shape,1600,64,CLASSIFICATION,snn_plant-shape,1.582629632949829,0.6458333333333334,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
plant-texture,1599,64,CLASSIFICATION,snn_plant-texture,1.4213490297396978,0.8291666666666667,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
post-operative,90,8,CLASSIFICATION,snn_post-operative,1.0201399326324463,0.7857142686843872,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
primary-tumor,330,17,CLASSIFICATION,snn_primary-tumor,1.9888114738464355,0.4400000011920929,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
ringnorm,7400,20,CLASSIFICATION,snn_ringnorm,0.1131179445442572,0.9824324321102452,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
seeds,210,7,CLASSIFICATION,snn_seeds,0.07821935415267944,0.96875,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
semeion,1593,256,CLASSIFICATION,snn_semeion,2.2929508696041347,0.07949790813683466,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
soybean,683,35,CLASSIFICATION,snn_soybean,0.6225099644614654,0.8058252438758183,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
spambase,4601,57,CLASSIFICATION,snn_spambase,0.28568539370421464,0.9464544138929089,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
spectf,267,44,CLASSIFICATION,snn_spectf,0.5223979542895061,0.658536591180941,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
spect,265,22,CLASSIFICATION,snn_spect,1.2623263597488403,0.75,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
statlog-australian-credit,690,14,CLASSIFICATION,snn_statlog-australian-credit,0.5810299836672269,0.6923076923076923,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
statlog-german-credit,1000,24,CLASSIFICATION,snn_statlog-german-credit,0.7565915544827779,0.77,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
statlog-heart,270,13,CLASSIFICATION,snn_statlog-heart,0.3630578183546299,0.8902438966239371,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
statlog-image,2310,18,CLASSIFICATION,snn_statlog-image,0.3216819654967668,0.8472622488692446,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
statlog-landsat,6435,36,CLASSIFICATION,snn_statlog-landsat,0.3703395689280384,0.9358178052596176,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
statlog-shuttle,58000,9,CLASSIFICATION,snn_statlog-shuttle,1.945910096168518,0.7789655172413793,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
statlog-vehicle,846,18,CLASSIFICATION,snn_statlog-vehicle,0.6912464659045062,0.7165354354175058,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
steel-plates,1941,27,CLASSIFICATION,snn_steel-plates,1.1964629840565055,0.773972602739726,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
synthetic-control,600,60,CLASSIFICATION,snn_synthetic-control,0.5892423457569547,0.5888888875643412,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
teaching,151,5,CLASSIFICATION,snn_teaching,2.7548537254333496,0.3478260934352875,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
thyroid,7200,21,CLASSIFICATION,snn_thyroid,0.1102418028867566,0.974074074074074,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
tic-tac-toe,958,9,CLASSIFICATION,snn_tic-tac-toe,0.013166932869353332,0.9930555555555556,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
titanic,2201,3,CLASSIFICATION,snn_titanic,0.5303900448937431,0.7734138980012646,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
trains,10,29,CLASSIFICATION,snn_trains,0.5494240522384644,0.75,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
twonorm,7400,20,CLASSIFICATION,snn_twonorm,0.1852431808024815,0.9675675675675676,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
vertebral-column-2clases,310,6,CLASSIFICATION,snn_vertebral-column-2clases,0.386532335205281,0.8723404280682827,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
vertebral-column-3clases,310,6,CLASSIFICATION,snn_vertebral-column-3clases,0.791093128792783,0.8510638348599697,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
wall-following,5456,24,CLASSIFICATION,snn_wall-following,0.7688720597452297,0.8400488396849534,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
waveform-noise,5000,40,CLASSIFICATION,snn_waveform-noise,0.2942471007506053,0.8759999995231629,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
waveform,5000,21,CLASSIFICATION,snn_waveform,0.2518020709355672,0.8973333328564962,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
wine-quality-red,1599,11,CLASSIFICATION,snn_wine-quality-red,2.0799102783203125,0.5958333333333333,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
wine-quality-white,4898,11,CLASSIFICATION,snn_wine-quality-white,2.1608219354331086,0.6258503394872964,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
wine,178,13,CLASSIFICATION,snn_wine,0.05809105932712555,1.0,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
yeast,1484,8,CLASSIFICATION,snn_yeast,1.8982555705870212,0.4035874423424759,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
zoo,101,16,CLASSIFICATION,snn_zoo,0.5653254985809326,0.75,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
